Round,Dataset,Local_Class,Accuracy
3,EMNIST,25,4.8
3,EMNIST,26,91.22
3,EMNIST,27,96.06
3,EMNIST,28,75.33
3,EMNIST,29,89.25
3,EMNIST,30,29.4
3,EMNIST,31,20.3
3,EMNIST,32,21.69
3,EMNIST,33,21.37
3,EMNIST,34,36.23
3,EMNIST,35,46.45
3,EMNIST,36,83.55
3,EMNIST,37,92.53
3,EMNIST,38,62.85
3,EMNIST,39,96.93
3,EMNIST,40,96.59
3,EMNIST,41,71.15
3,EMNIST,42,61.38
3,EMNIST,43,94.13
3,EMNIST,44,94.34
3,EMNIST,45,76.12
3,EMNIST,46,53.07
3,EMNIST,47,2.04
3,EMNIST,48,90.52
3,EMNIST,49,93.34
3,EMNIST,50,62.26
3,EMNIST,51,94.63
3,EMNIST,52,26.96
3,EMNIST,53,95.45
3,EMNIST,54,20.6
3,EMNIST,55,89.54
3,EMNIST,56,80.41
3,EMNIST,57,89.91
3,EMNIST,58,83.29
3,EMNIST,59,95.09
3,EMNIST,60,64.27
3,EMNIST,61,74.39
3,CIFAR10,0,47.03
3,CIFAR10,1,57.91
3,CIFAR10,2,0.44
3,CIFAR10,3,22.09
3,CIFAR10,4,32.2
3,CIFAR10,5,20.0
3,CIFAR10,6,60.88
3,CIFAR10,7,70.66
3,CIFAR10,8,60.66
3,CIFAR10,9,43.3
4,MNIST,0,99.1
4,MNIST,1,99.03
4,MNIST,2,97.98
4,MNIST,3,99.56
4,MNIST,4,96.3
4,MNIST,5,93.22
4,MNIST,6,98.16
4,MNIST,7,94.87
4,MNIST,8,99.66
4,MNIST,9,93.36
4,EMNIST,0,81.06
4,EMNIST,1,62.88
4,EMNIST,2,88.27
4,EMNIST,3,98.3
4,EMNIST,4,86.73
4,EMNIST,5,74.95
4,EMNIST,6,88.68
4,EMNIST,7,92.73
4,EMNIST,8,97.42
4,EMNIST,9,74.16
4,EMNIST,10,92.34
4,EMNIST,11,93.22
4,EMNIST,12,76.98
4,EMNIST,13,81.1
4,EMNIST,14,97.03
4,EMNIST,15,71.68
4,EMNIST,16,93.37
4,EMNIST,17,90.51
4,EMNIST,18,56.98
4,EMNIST,19,87.19
4,EMNIST,20,25.0
4,EMNIST,21,90.5
4,EMNIST,22,33.19
4,EMNIST,23,96.83
4,EMNIST,24,20.75
4,EMNIST,25,66.14
4,EMNIST,26,97.87
4,EMNIST,27,89.13
4,EMNIST,28,30.56
4,EMNIST,29,94.7
4,EMNIST,30,64.01
4,EMNIST,31,52.35
4,EMNIST,32,62.48
4,EMNIST,33,58.52
4,EMNIST,34,16.25
4,EMNIST,35,74.41
4,EMNIST,36,86.62
4,EMNIST,37,93.94
4,EMNIST,38,13.23
4,EMNIST,39,97.71
4,EMNIST,40,97.98
4,EMNIST,41,51.1
4,EMNIST,42,69.59
4,EMNIST,43,90.19
4,EMNIST,44,39.85
4,EMNIST,45,74.39
4,EMNIST,46,87.5
4,EMNIST,47,33.54
4,EMNIST,48,84.6
4,EMNIST,49,87.43
4,EMNIST,50,34.2
4,EMNIST,51,70.75
4,EMNIST,52,48.7
4,EMNIST,53,92.51
4,EMNIST,54,74.12
4,EMNIST,55,92.99
4,EMNIST,56,56.26
4,EMNIST,57,57.98
4,EMNIST,58,84.47
4,EMNIST,59,83.64
4,EMNIST,60,92.51
4,EMNIST,61,63.9
4,CIFAR10,0,52.86
4,CIFAR10,1,63.41
4,CIFAR10,2,20.22
4,CIFAR10,3,26.81
4,CIFAR10,4,52.31
4,CIFAR10,5,51.87
4,CIFAR10,6,42.53
4,CIFAR10,7,55.05
4,CIFAR10,8,64.07
4,CIFAR10,9,40.44
5,MNIST,0,99.66
5,MNIST,1,99.03
5,MNIST,2,92.23
5,MNIST,3,98.69
5,MNIST,4,99.1
5,MNIST,5,99.38
5,MNIST,6,97.47
5,MNIST,7,98.82
5,MNIST,8,98.19
5,MNIST,9,97.71
5,EMNIST,0,88.96
5,EMNIST,1,33.31
5,EMNIST,2,78.09
5,EMNIST,3,97.7
5,EMNIST,4,86.32
5,EMNIST,5,96.67
5,EMNIST,6,86.99
5,EMNIST,7,96.09
5,EMNIST,8,91.27
5,EMNIST,9,69.85
5,EMNIST,10,95.45
5,EMNIST,11,96.61
5,EMNIST,12,54.02
5,EMNIST,13,87.87
5,EMNIST,14,94.83
5,EMNIST,15,33.36
5,EMNIST,16,95.09
5,EMNIST,17,97.05
5,EMNIST,18,51.99
5,EMNIST,19,68.77
5,EMNIST,20,88.22
5,EMNIST,21,97.15
5,EMNIST,22,40.67
5,EMNIST,23,96.5
5,EMNIST,24,6.14
5,EMNIST,25,76.14
5,EMNIST,26,97.87
5,EMNIST,27,95.11
