Round,Accuracy
1,1.46
2,4.88
3,5.28
4,5.28
5,5.28
6,5.28
7,6.92
8,4.83
9,4.83
10,4.84
11,4.84
12,6.12
13,8.19
14,7.32
15,14.05
16,9.46
17,11.47
18,11.06
19,13.78
20,13.21
21,10.39
22,16.41
23,12.76
24,12.46
25,14.5
26,14.26
27,11.14
28,7.21
29,10.47
30,10.78
