Round,Accuracy
1,1.3
2,4.71
3,5.26
4,5.26
5,5.26
6,5.26
7,6.73
8,4.84
9,4.84
10,4.85
11,4.86
12,6.36
13,8.21
14,7.54
15,14.07
16,9.38
17,11.38
18,11.19
19,13.99
20,13.8
21,11.29
22,16.91
23,13.31
24,12.89
25,14.84
26,14.99
27,12.07
28,8.28
29,11.44
30,11.74
