dataset_a,label_a_id,label_a_name,dataset_b,label_b_id,label_b_name,score_a_to_b,score_b_to_a,relation_score,pass_threshold
MNIST,0,0,EMNIST,0,0,0.7743554711341858,0.48235780000686646,0.6283566355705261,True
MNIST,0,0,EMNIST,1,1,0.0028983724769204855,1.1570142305572517e-05,0.001454971309613029,False
MNIST,0,0,EMNIST,2,2,0.11361317336559296,0.007477355655282736,0.060545264510437846,False
MNIST,0,0,EMNIST,3,3,0.049178410321474075,0.00010869048128370196,0.02464355040137889,False
MNIST,0,0,EMNIST,4,4,0.04672417789697647,0.003897162852808833,0.025310670374892652,False
MNIST,0,0,EMNIST,5,5,0.027859335765242577,0.00022189416631590575,0.014040614965779241,False
MNIST,0,0,EMNIST,6,6,0.19542936980724335,0.0008996765245683491,0.09816452316590585,False
MNIST,0,0,EMNIST,7,7,0.025405023247003555,4.13437737734057e-05,0.01272318351038848,False
MNIST,0,0,EMNIST,8,8,0.13313394784927368,0.0004683053120970726,0.06680112658068538,False
MNIST,0,0,EMNIST,9,9,0.07304446399211884,0.0007477918989025056,0.03689612794551067,False
MNIST,0,0,EMNIST,10,A,0.1533987671136856,0.0005236086435616016,0.0769611878786236,False
MNIST,0,0,EMNIST,11,B,0.2204226553440094,0.0014839072246104479,0.11095328128430992,False
MNIST,0,0,EMNIST,12,C,0.35321012139320374,0.004219823982566595,0.17871497268788517,False
MNIST,0,0,EMNIST,13,D,0.6412898898124695,0.011725492775440216,0.32650769129395485,True
MNIST,0,0,EMNIST,14,E,0.10463432222604752,3.14127973979339e-05,0.052332867511722725,False
MNIST,0,0,EMNIST,15,F,0.02748752571642399,1.0639150787028484e-05,0.013749082433605508,False
MNIST,0,0,EMNIST,16,G,0.2840176224708557,0.0004035610763821751,0.14221059177361894,False
MNIST,0,0,EMNIST,17,H,0.11767377704381943,0.001567272818647325,0.059620524931233376,False
MNIST,0,0,EMNIST,18,I,0.005964644718915224,2.9549933969974518e-05,0.0029970973264425993,False
MNIST,0,0,EMNIST,19,J,0.042557504028081894,7.13788322173059e-05,0.0213144414301496,False
MNIST,0,0,EMNIST,20,K,0.2694324851036072,0.0005432736943475902,0.13498787939897738,False
MNIST,0,0,EMNIST,21,L,0.20064428448677063,0.0001143078989116475,0.10037929619284114,False
MNIST,0,0,EMNIST,22,M,0.08912234008312225,0.004790057428181171,0.04695619875565171,False
MNIST,0,0,EMNIST,23,N,0.2206844836473465,0.004779085051268339,0.11273178434930742,False
MNIST,0,0,EMNIST,24,O,0.7757418751716614,0.33058443665504456,0.553163155913353,True
MNIST,0,0,EMNIST,25,P,0.10335607826709747,6.439887511078268e-05,0.05171023857110413,False
MNIST,0,0,EMNIST,26,Q,0.3481701910495758,0.004880485124886036,0.17652533808723092,False
MNIST,0,0,EMNIST,27,R,0.22333049774169922,8.171811350621283e-05,0.11170610792760272,False
MNIST,0,0,EMNIST,28,S,0.0397283211350441,0.0001480439823353663,0.019938182558689732,False
MNIST,0,0,EMNIST,29,T,0.06216617301106453,4.078766323800664e-06,0.031085125888694165,False
MNIST,0,0,EMNIST,30,U,0.3020992577075958,0.04193001613020897,0.1720146369189024,False
MNIST,0,0,EMNIST,31,V,0.17565444111824036,0.0002819528162945062,0.08796819696726743,False
MNIST,0,0,EMNIST,32,W,0.2186150997877121,0.0008530955528840423,0.10973409767029807,False
MNIST,0,0,EMNIST,33,X,0.13160057365894318,0.0005628763465210795,0.06608172500273213,False
MNIST,0,0,EMNIST,34,Y,0.03477277234196663,4.8248490202240646e-05,0.017410510416084435,False
MNIST,0,0,EMNIST,35,Z,0.05162688344717026,1.8361397451371886e-05,0.025822622422310815,False
MNIST,0,0,EMNIST,36,a,0.2542937397956848,0.020688265562057495,0.13749100267887115,False
MNIST,0,0,EMNIST,37,b,0.10294492542743683,0.00030044966842979193,0.05162268754793331,False
MNIST,0,0,EMNIST,38,c,0.45970258116722107,0.0015642300713807344,0.2306334056193009,False
MNIST,0,0,EMNIST,39,d,0.1003635972738266,0.005850405432283878,0.05310700135305524,False
MNIST,0,0,EMNIST,40,e,0.20015683770179749,0.0007972221937961876,0.10047702994779684,False
MNIST,0,0,EMNIST,41,f,0.08783523738384247,4.729215561383171e-06,0.043919983299701926,False
MNIST,0,0,EMNIST,42,g,0.10742072016000748,0.0009470031363889575,0.05418386164819822,False
MNIST,0,0,EMNIST,43,h,0.08066464215517044,0.0008847519638948143,0.04077469705953263,False
MNIST,0,0,EMNIST,44,i,0.0025040055625140667,4.967992026649881e-06,0.0012544867772703583,False
MNIST,0,0,EMNIST,45,j,0.14096233248710632,6.0466729337349534e-05,0.07051139960822184,False
MNIST,0,0,EMNIST,46,k,0.13099262118339539,8.31087090773508e-05,0.06553786494623637,False
