dataset_a,label_a_id,label_a_name,dataset_b,label_b_id,label_b_name,score_a_to_b,score_b_to_a,relation_score,pass_threshold
MNIST,0,0,EMNIST,0,0,0.7415745258331299,0.4744197726249695,0.6079971492290497,True
MNIST,0,0,EMNIST,1,1,0.002080361358821392,1.3575426237366628e-05,0.0010469683925293793,False
MNIST,0,0,EMNIST,2,2,0.1321992725133896,0.018228348344564438,0.07521381042897701,False
MNIST,0,0,EMNIST,3,3,0.021794971078634262,0.0002495019871275872,0.011022236532880925,False
MNIST,0,0,EMNIST,4,4,0.04444577544927597,0.004087486770004034,0.024266631109640002,False
MNIST,0,0,EMNIST,5,5,0.042693398892879486,0.0003033285029232502,0.021498363697901368,False
MNIST,0,0,EMNIST,6,6,0.11169326305389404,0.0018375683575868607,0.05676541570574045,False
MNIST,0,0,EMNIST,7,7,0.018046364188194275,0.00010062585351988673,0.00907349502085708,False
MNIST,0,0,EMNIST,8,8,0.08279247581958771,0.0010768254287540913,0.0419346506241709,False
MNIST,0,0,EMNIST,9,9,0.03971453756093979,0.0016449283575639129,0.02067973295925185,False
MNIST,0,0,EMNIST,10,A,0.14414837956428528,0.00038161600241437554,0.07226499778334983,False
MNIST,0,0,EMNIST,11,B,0.19807347655296326,0.0016428598901256919,0.09985816822154447,False
MNIST,0,0,EMNIST,12,C,0.48111581802368164,0.006040808279067278,0.24357831315137446,True
MNIST,0,0,EMNIST,13,D,0.6995702981948853,0.015281709842383862,0.35742600401863456,True
MNIST,0,0,EMNIST,14,E,0.09138180315494537,3.0444716685451567e-05,0.04570612393581541,False
MNIST,0,0,EMNIST,15,F,0.09310044348239899,2.5185760023305193e-05,0.046562814621211146,False
MNIST,0,0,EMNIST,16,G,0.12608462572097778,0.0005594892427325249,0.06332205748185515,False
MNIST,0,0,EMNIST,17,H,0.07726620137691498,0.0017725437646731734,0.039519372570794076,False
MNIST,0,0,EMNIST,18,I,0.0015112531837075949,3.0857852834742516e-05,0.0007710555182711687,False
MNIST,0,0,EMNIST,19,J,0.0759432315826416,0.00019546097610145807,0.03806934627937153,False
MNIST,0,0,EMNIST,20,K,0.09877809882164001,0.0005909651517868042,0.04968453198671341,False
MNIST,0,0,EMNIST,21,L,0.21850275993347168,0.0007428682874888182,0.10962281411048025,True
MNIST,0,0,EMNIST,22,M,0.11410880088806152,0.006926203612238169,0.060517502250149846,False
MNIST,0,0,EMNIST,23,N,0.17843759059906006,0.00793956033885479,0.09318857546895742,False
MNIST,0,0,EMNIST,24,O,0.7315731048583984,0.3100457787513733,0.5208094418048859,True
MNIST,0,0,EMNIST,25,P,0.08738182485103607,9.533271804684773e-05,0.04373857878454146,False
MNIST,0,0,EMNIST,26,Q,0.39697057008743286,0.00530118215829134,0.2011358761228621,True
MNIST,0,0,EMNIST,27,R,0.15353931486606598,6.977952580200508e-05,0.07680454719593399,False
MNIST,0,0,EMNIST,28,S,0.04786127433180809,0.00019348102796357125,0.02402737767988583,False
MNIST,0,0,EMNIST,29,T,0.09838930517435074,7.108014870027546e-06,0.04919820659461038,False
MNIST,0,0,EMNIST,30,U,0.2694348096847534,0.045275695621967316,0.15735525265336037,True
MNIST,0,0,EMNIST,31,V,0.0699101909995079,0.0003559326287358999,0.0351330618141219,False
MNIST,0,0,EMNIST,32,W,0.2916678488254547,0.002212230348959565,0.14694003958720714,True
MNIST,0,0,EMNIST,33,X,0.08868084847927094,0.0006043242174200714,0.0446425863483455,False
MNIST,0,0,EMNIST,34,Y,0.022207630798220634,9.311226313002408e-05,0.01115037153067533,False
MNIST,0,0,EMNIST,35,Z,0.05626927688717842,5.1362108933972195e-05,0.028160319498056197,False
MNIST,0,0,EMNIST,36,a,0.31545549631118774,0.019640924409031868,0.1675482103601098,True
MNIST,0,0,EMNIST,37,b,0.09134078025817871,0.00035969368764199317,0.04585023697291035,False
MNIST,0,0,EMNIST,38,c,0.3843129575252533,0.0018322588875889778,0.19307260820642114,True
MNIST,0,0,EMNIST,39,d,0.10896147787570953,0.011278903111815453,0.06012019049376249,False
MNIST,0,0,EMNIST,40,e,0.1522963047027588,0.0008424945990554988,0.07656939965090714,False
MNIST,0,0,EMNIST,41,f,0.05096185952425003,1.6413516277680174e-05,0.025489136520263855,False
MNIST,0,0,EMNIST,42,g,0.05468525364995003,0.0014919987879693508,0.02808862621895969,False
MNIST,0,0,EMNIST,43,h,0.03377507999539375,0.0007591714384034276,0.01726712571689859,False
MNIST,0,0,EMNIST,44,i,0.021912358701229095,5.90385479881661e-06,0.010959131278013956,False
MNIST,0,0,EMNIST,45,j,0.15461666882038116,0.00010092349111801013,0.07735879615574959,False
MNIST,0,0,EMNIST,46,k,0.14440830051898956,8.62643209984526e-05,0.07224728241999401,False
