Round,Accuracy
25,0.41
26,0.44
27,0.0
28,0.0
29,0.0
30,0.0
31,0.12
32,0.45
33,0.0
34,0.42
35,0.45
36,0.34
37,0.42
38,0.62
39,1.61
40,3.18
41,2.36
42,2.62
43,3.06
44,2.21
45,3.52
46,2.95
47,3.02
48,3.01
49,3.49
50,4.49
51,3.86
52,3.12
53,1.97
54,3.86
55,4.65
56,4.28
57,3.67
58,3.56
59,3.45
60,3.05
61,3.47
62,4.04
63,4.3
64,3.52
65,3.93
66,5.08
67,3.67
68,3.41
69,3.23
70,3.53
71,3.56
72,3.23
73,3.41
74,3.83
75,3.58
76,3.96
77,4.11
78,3.91
79,3.69
80,3.39
81,3.44
82,3.57
83,4.11
84,4.32
85,4.02
86,4.05
87,4.15
88,3.91
89,3.81
90,4.24
91,4.47
92,4.37
93,4.28
94,4.08
95,3.75
96,3.49
97,3.45
98,3.81
99,3.99
100,3.94
