group_name,dataset_name,label_id,label_name,model_count,confidence,accuracy,passed
Cluster_10,EMNIST,8,8,2,0.8797274827957153,0.9375,True
Cluster_10,EMNIST,9,9,1,0.8486766815185547,1.0,True
Cluster_10,EMNIST,10,A,1,0.9192395806312561,0.875,True
Cluster_10,EMNIST,11,B,2,0.8667241930961609,1.0,True
Cluster_10,EMNIST,12,C,1,0.9991263151168823,1.0,True
Cluster_10,EMNIST,13,D,1,0.1452164351940155,0.125,False
Cluster_10,EMNIST,14,E,1,0.9829707741737366,1.0,True
Cluster_10,EMNIST,15,F,2,0.5443852692842484,0.6875,True
Cluster_10,EMNIST,17,H,4,0.9656202644109726,1.0,True
Cluster_10,EMNIST,19,J,1,0.2194747030735016,0.25,False
Cluster_10,EMNIST,20,K,1,0.12901578843593597,0.125,False
Cluster_10,EMNIST,21,L,1,0.08807530999183655,0.0,False
Cluster_10,EMNIST,22,M,3,0.8163020213445028,0.9583333333333334,True
Cluster_10,EMNIST,24,O,1,0.5051127672195435,0.875,True
Cluster_10,EMNIST,26,Q,2,0.6218009889125824,0.5625,True
Cluster_10,EMNIST,27,R,2,0.8751377463340759,0.875,True
Cluster_10,EMNIST,28,S,2,0.9989292621612549,1.0,True
Cluster_10,EMNIST,29,T,1,0.953310489654541,1.0,True
Cluster_10,EMNIST,30,U,2,0.9982993602752686,1.0,True
Cluster_10,EMNIST,31,V,2,0.7670815587043762,1.0,True
Cluster_10,EMNIST,32,W,2,0.3135286048054695,0.5,False
Cluster_10,EMNIST,33,X,2,0.9953716397285461,1.0,True
Cluster_10,EMNIST,35,Z,1,0.8945339918136597,1.0,True
Cluster_10,EMNIST,36,a,2,0.9954672157764435,1.0,True
Cluster_10,EMNIST,37,b,1,0.8297286629676819,0.875,True
Cluster_10,EMNIST,38,c,1,0.9997248649597168,1.0,True
Cluster_10,EMNIST,39,d,2,0.9857205152511597,1.0,True
Cluster_10,EMNIST,40,e,2,0.9764990210533142,1.0,True
Cluster_10,EMNIST,41,f,3,0.423726720114549,0.3333333333333333,False
Cluster_10,EMNIST,42,g,2,0.8067389726638794,0.875,True
Cluster_10,EMNIST,43,h,1,0.9999650716781616,1.0,True
Cluster_10,EMNIST,44,i,3,0.3525401509056489,0.3333333333333333,False
Cluster_10,EMNIST,45,j,1,0.5870105028152466,0.625,True
Cluster_10,EMNIST,46,k,2,0.9108051955699921,0.9375,True
Cluster_10,EMNIST,47,l,1,0.17364251613616943,0.125,False
Cluster_10,EMNIST,48,m,1,0.08055074512958527,0.0,False
Cluster_10,EMNIST,49,n,2,0.9992586970329285,1.0,True
Cluster_10,EMNIST,50,o,1,0.2569561004638672,0.0,False
Cluster_10,EMNIST,51,p,4,0.9946224838495255,1.0,True
Cluster_10,EMNIST,52,q,3,0.6716189831495285,0.6666666666666666,True
Cluster_10,EMNIST,53,r,2,0.9891793727874756,1.0,True
Cluster_10,EMNIST,54,s,2,0.976285457611084,1.0,True
Cluster_10,EMNIST,55,t,2,0.5856572985649109,0.75,True
Cluster_10,EMNIST,56,u,1,0.899448037147522,1.0,True
Cluster_10,EMNIST,57,v,2,0.6082065105438232,0.375,True
Cluster_10,EMNIST,58,w,2,0.33089542388916016,0.125,False
Cluster_10,EMNIST,59,x,1,0.8013885617256165,0.875,True
Cluster_10,EMNIST,60,y,2,0.8473181128501892,0.875,True
Cluster_10,EMNIST,61,z,1,0.3974541425704956,0.5,False
Cluster_11,EMNIST,1,1,1,0.9854387044906616,1.0,True
Cluster_11,EMNIST,4,4,1,0.9985175728797913,1.0,True
Cluster_11,EMNIST,6,6,1,0.9312335252761841,0.875,True
Cluster_11,EMNIST,13,D,1,0.9997318983078003,1.0,True
Cluster_11,EMNIST,17,H,1,0.7608933448791504,0.875,True
Cluster_11,EMNIST,19,J,1,0.8628510236740112,0.875,True
Cluster_11,EMNIST,22,M,1,0.9438523054122925,1.0,True
Cluster_11,EMNIST,23,N,1,0.9867735505104065,1.0,True
Cluster_11,EMNIST,35,Z,1,0.9875984191894531,1.0,True
Cluster_11,EMNIST,37,b,1,0.7430187463760376,0.875,True
Cluster_11,EMNIST,38,c,1,0.9382363557815552,1.0,True
Cluster_11,EMNIST,42,g,1,0.856200098991394,1.0,True
Cluster_11,EMNIST,43,h,1,0.9177601337432861,1.0,True
Cluster_11,EMNIST,46,k,1,0.9659848213195801,1.0,True
Cluster_11,EMNIST,58,w,1,0.9552274942398071,1.0,True
Cluster_11,EMNIST,59,x,1,0.809567391872406,0.875,True
Cluster_12,CIFAR10,0,airplane,4,0.6664488315582275,0.71875,True
Cluster_12,CIFAR10,1,automobile,5,0.527181088924408,0.55,True
Cluster_12,CIFAR10,2,bird,1,0.900554895401001,1.0,True
Cluster_12,CIFAR10,3,cat,3,0.4652331272761027,0.625,False
Cluster_12,CIFAR10,4,deer,2,0.6631673574447632,0.625,True
Cluster_12,CIFAR10,5,dog,4,0.6345418319106102,0.6875,True
Cluster_12,CIFAR10,6,frog,2,0.7526202201843262,0.75,True
Cluster_12,CIFAR10,7,horse,2,0.5079621970653534,0.5625,True
Cluster_12,CIFAR10,8,ship,2,0.8008881211280823,0.875,True
Cluster_12,CIFAR10,9,truck,2,0.32541943341493607,0.25,False
