Round,Accuracy
20,81.48
21,82.65
22,89.48
23,88.2
24,91.14
25,90.36
26,90.96
27,89.75
28,89.82
29,90.74
30,90.42
31,89.14
32,90.3
33,90.49
34,89.83
35,91.09
36,90.58
37,91.27
38,87.76
39,91.29
40,90.06
41,90.58
42,91.58
43,92.28
44,92.42
45,91.73
46,91.04
47,91.64
48,91.69
49,92.67
50,91.79
51,92.49
52,91.98
53,91.51
54,92.11
55,91.73
56,92.01
57,93.23
58,92.49
59,92.6
60,93.27
61,93.3
62,91.17
63,93.69
64,93.81
65,92.55
66,92.04
67,91.84
68,91.58
69,92.94
70,93.14
