Round,Accuracy
20,78.63
21,82.98
22,79.91
23,85.65
24,87.91
25,90.12
26,89.97
27,87.7
28,90.51
29,90.91
30,90.1
31,90.63
32,90.15
33,91.04
34,88.74
35,91.08
36,90.8
37,88.55
38,90.08
39,90.5
40,91.94
41,90.06
42,90.46
43,92.72
44,92.08
45,92.42
46,91.96
47,91.68
48,91.8
49,92.06
50,91.46
51,92.56
52,92.84
53,91.03
54,91.31
55,92.99
56,92.47
57,92.49
58,91.91
59,91.51
60,92.06
61,93.55
62,92.8
63,92.91
64,91.93
65,92.49
66,92.47
67,92.29
68,92.57
69,93.7
70,92.55
