global_round,cs_threshold,recall,specificity,precision,average_accuracy,f1_score,mcc,TP,FP,TN,FN
5,-1.0,0.5,0.987218045112782,0.22727272727272727,0.7436090225563909,0.3125,0.3299743179417637,5,17,1313,5
5,-0.9,0.5,0.987218045112782,0.22727272727272727,0.7436090225563909,0.3125,0.3299743179417637,5,17,1313,5
5,-0.8,0.5,0.987218045112782,0.22727272727272727,0.7436090225563909,0.3125,0.3299743179417637,5,17,1313,5
5,-0.7,0.5,0.987218045112782,0.22727272727272727,0.7436090225563909,0.3125,0.3299743179417637,5,17,1313,5
5,-0.6,0.5,0.9894736842105263,0.2631578947368421,0.7447368421052631,0.3448275862068966,0.3563091365839512,5,14,1316,5
5,-0.5,0.5,0.9894736842105263,0.2631578947368421,0.7447368421052631,0.3448275862068966,0.3563091365839512,5,14,1316,5
5,-0.4,0.5,0.9902255639097745,0.2777777777777778,0.7451127819548873,0.35714285714285715,0.3664964692723006,5,13,1317,5
5,-0.3,0.5,0.9917293233082707,0.3125,0.7458646616541353,0.38461538461538464,0.3896260125870488,5,11,1319,5
5,-0.2,0.5,0.9924812030075187,0.3333333333333333,0.7462406015037594,0.4,0.4028672006611057,5,10,1320,5
5,-0.1,0.5,0.9924812030075187,0.3333333333333333,0.7462406015037594,0.4,0.4028672006611057,5,10,1320,5
5,0.0,0.5,0.9924812030075187,0.3333333333333333,0.7462406015037594,0.4,0.4028672006611057,5,10,1320,5
5,0.1,0.5,0.9924812030075187,0.3333333333333333,0.7462406015037594,0.4,0.4028672006611057,5,10,1320,5
5,0.2,0.5,0.9939849624060151,0.38461538461538464,0.7469924812030075,0.4347826086956522,0.4337429326209294,5,8,1322,5
5,0.3,0.5,0.9954887218045113,0.45454545454545453,0.7477443609022556,0.47619047619047616,0.47260766509783025,5,6,1324,5
5,0.4,0.5,0.9962406015037594,0.5,0.7481203007518797,0.5,0.49624060150375937,5,5,1325,5
5,0.5,0.5,0.9962406015037594,0.5,0.7481203007518797,0.5,0.49624060150375937,5,5,1325,5
5,0.6,0.5,0.9962406015037594,0.5,0.7481203007518797,0.5,0.49624060150375937,5,5,1325,5
5,0.7,0.5,0.9962406015037594,0.5,0.7481203007518797,0.5,0.49624060150375937,5,5,1325,5
5,0.8,0.5,0.9962406015037594,0.5,0.7481203007518797,0.5,0.49624060150375937,5,5,1325,5
5,0.9,0.5,0.9977443609022556,0.625,0.7488721804511278,0.5555555555555556,0.5560771671276957,5,3,1327,5
5,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
10,-1.0,0.3,0.9857142857142858,0.13636363636363635,0.6428571428571429,0.18749999999999997,0.19350345805226882,3,19,1311,7
10,-0.9,0.3,0.9857142857142858,0.13636363636363635,0.6428571428571429,0.18749999999999997,0.19350345805226882,3,19,1311,7
10,-0.8,0.3,0.9857142857142858,0.13636363636363635,0.6428571428571429,0.18749999999999997,0.19350345805226882,3,19,1311,7
10,-0.7,0.3,0.9857142857142858,0.13636363636363635,0.6428571428571429,0.18749999999999997,0.19350345805226882,3,19,1311,7
10,-0.6,0.3,0.9857142857142858,0.13636363636363635,0.6428571428571429,0.18749999999999997,0.19350345805226882,3,19,1311,7
10,-0.5,0.3,0.987218045112782,0.15,0.643609022556391,0.2,0.2038616706742763,3,17,1313,7
10,-0.4,0.3,0.98796992481203,0.15789473684210525,0.643984962406015,0.20689655172413793,0.2096258053942447,3,16,1314,7
10,-0.3,0.3,0.98796992481203,0.15789473684210525,0.643984962406015,0.20689655172413793,0.2096258053942447,3,16,1314,7
10,-0.2,0.3,0.9887218045112782,0.16666666666666666,0.6443609022556391,0.21428571428571427,0.21585068128920773,3,15,1315,7
10,-0.1,0.3,0.9887218045112782,0.16666666666666666,0.6443609022556391,0.21428571428571427,0.21585068128920773,3,15,1315,7
10,0.0,0.3,0.9894736842105263,0.17647058823529413,0.6447368421052632,0.22222222222222224,0.2226027505142393,3,14,1316,7
10,0.1,0.3,0.9902255639097745,0.1875,0.6451127819548872,0.23076923076923075,0.22996275360642332,3,13,1317,7
10,0.2,0.3,0.9902255639097745,0.1875,0.6451127819548872,0.23076923076923075,0.22996275360642332,3,13,1317,7
10,0.3,0.3,0.9902255639097745,0.1875,0.6451127819548872,0.23076923076923075,0.22996275360642332,3,13,1317,7
10,0.4,0.3,0.9909774436090225,0.2,0.6454887218045112,0.24,0.23802993382572202,3,12,1318,7
10,0.5,0.3,0.9909774436090225,0.2,0.6454887218045112,0.24,0.23802993382572202,3,12,1318,7
10,0.6,0.3,0.9939849624060151,0.2727272727272727,0.6469924812030076,0.28571428571428564,0.2804091002325518,3,8,1322,7
10,0.7,0.3,0.9939849624060151,0.2727272727272727,0.6469924812030076,0.28571428571428564,0.2804091002325518,3,8,1322,7
10,0.8,0.3,0.9954887218045113,0.3333333333333333,0.6477443609022556,0.3157894736842105,0.311355432344074,3,6,1324,7
10,0.9,0.3,0.9954887218045113,0.3333333333333333,0.6477443609022556,0.3157894736842105,0.311355432344074,3,6,1324,7
10,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
15,-1.0,0.2,0.9842105263157894,0.08695652173913043,0.5921052631578947,0.12121212121212122,0.12206283664186628,2,21,1309,8
15,-0.9,0.2,0.9842105263157894,0.08695652173913043,0.5921052631578947,0.12121212121212122,0.12206283664186628,2,21,1309,8
15,-0.8,0.2,0.9842105263157894,0.08695652173913043,0.5921052631578947,0.12121212121212122,0.12206283664186628,2,21,1309,8
15,-0.7,0.2,0.9842105263157894,0.08695652173913043,0.5921052631578947,0.12121212121212122,0.12206283664186628,2,21,1309,8
15,-0.6,0.2,0.9842105263157894,0.08695652173913043,0.5921052631578947,0.12121212121212122,0.12206283664186628,2,21,1309,8
15,-0.5,0.2,0.9842105263157894,0.08695652173913043,0.5921052631578947,0.12121212121212122,0.12206283664186628,2,21,1309,8
15,-0.4,0.2,0.9842105263157894,0.08695652173913043,0.5921052631578947,0.12121212121212122,0.12206283664186628,2,21,1309,8
15,-0.3,0.2,0.9857142857142858,0.09523809523809523,0.5928571428571429,0.12903225806451613,0.12868830706501086,2,19,1311,8
15,-0.2,0.2,0.987218045112782,0.10526315789473684,0.593609022556391,0.13793103448275862,0.13628413979939147,2,17,1313,8
15,-0.1,0.2,0.987218045112782,0.10526315789473684,0.593609022556391,0.13793103448275862,0.13628413979939147,2,17,1313,8
15,0.0,0.2,0.987218045112782,0.10526315789473684,0.593609022556391,0.13793103448275862,0.13628413979939147,2,17,1313,8
15,0.1,0.2,0.9887218045112782,0.11764705882352941,0.5943609022556391,0.14814814814814817,0.14512542955603652,2,15,1315,8
15,0.2,0.2,0.9887218045112782,0.11764705882352941,0.5943609022556391,0.14814814814814817,0.14512542955603652,2,15,1315,8
15,0.3,0.2,0.9894736842105263,0.125,0.5947368421052631,0.15384615384615385,0.15013112411611057,2,14,1316,8
