Round,Accuracy
1,3.57
2,37.2
3,46.57
4,54.61
5,57.38
6,55.4
7,62.25
8,58.92
9,57.49
10,61.21
11,60.56
12,58.87
13,59.6
14,59.27
15,59.4
16,62.21
17,61.4
18,63.18
19,61.36
20,58.16
21,61.87
22,57.71
23,58.3
24,57.06
25,61.7
26,53.79
27,57.13
28,61.34
29,63.12
30,63.7
31,60.1
32,55.75
33,52.93
34,57.8
35,53.16
36,51.57
37,55.89
38,60.12
39,59.95
40,63.0
41,55.47
42,51.33
43,60.32
44,62.39
45,58.18
46,55.66
47,57.02
48,55.77
49,55.22
50,60.51
51,48.4
52,51.65
53,57.37
54,53.22
55,49.75
56,51.91
57,55.18
58,57.34
59,53.51
60,51.32
61,52.78
62,54.68
63,57.49
64,46.2
65,44.16
66,56.5
67,60.92
68,51.27
69,49.35
70,50.39
71,40.14
72,48.69
73,48.29
74,27.64
75,48.35
76,59.37
77,47.54
78,54.61
79,43.59
80,47.23
81,48.37
82,56.84
83,56.74
84,52.6
85,27.68
86,46.04
87,53.83
88,32.08
89,43.84
90,39.38
91,38.56
92,45.72
93,50.4
94,46.35
95,48.79
96,34.67
97,42.84
98,44.4
99,40.6
100,51.59
