Round,Accuracy
1,7.6
2,31.14
3,66.4
4,79.03
5,88.41
6,80.69
7,88.37
8,89.88
9,89.28
10,92.17
11,91.16
12,92.33
13,88.4
14,92.17
15,91.98
16,94.18
17,92.01
18,93.89
19,94.72
20,94.15
21,93.97
22,95.36
23,93.71
24,94.94
25,95.1
26,90.76
27,95.48
28,94.82
29,95.33
30,95.55
31,95.59
32,94.07
33,94.71
34,94.69
35,90.28
36,92.83
37,94.8
38,95.35
39,95.07
40,95.56
41,94.67
42,90.81
43,94.69
44,94.12
45,93.61
46,93.63
47,94.35
48,93.32
49,92.62
50,93.42
51,93.66
52,91.14
53,92.34
54,93.77
55,93.35
56,94.13
57,94.57
58,92.86
59,91.93
60,92.85
61,90.82
62,93.38
63,92.52
64,88.27
65,81.28
66,93.15
67,92.35
68,92.78
69,93.62
70,89.58
71,79.98
72,85.56
73,90.07
74,39.99
75,83.01
76,91.76
77,84.1
78,87.82
79,79.52
80,90.65
81,87.96
82,90.94
83,89.68
84,84.44
85,42.03
86,73.57
87,88.05
88,42.28
89,70.63
90,67.72
91,55.22
92,72.99
93,85.26
94,70.9
95,83.9
96,51.34
97,68.1
98,64.82
99,59.1
100,71.82
