Round,Accuracy
1,5.54
2,21.76
3,22.9
4,23.65
5,27.43
6,29.16
7,34.13
8,35.58
9,35.43
10,38.07
11,38.92
12,39.26
13,41.05
14,42.9
15,44.05
16,46.47
17,46.14
18,47.75
19,46.35
20,47.76
21,51.2
22,51.27
23,52.15
24,52.4
25,51.03
26,53.33
27,51.78
28,52.58
29,54.03
30,53.9
31,55.47
32,56.12
33,55.24
34,56.35
35,54.8
36,55.3
37,58.59
38,57.29
39,56.15
40,57.49
41,58.42
42,57.34
43,58.59
44,59.23
45,59.11
46,57.87
47,59.07
48,60.44
49,58.1
50,59.58
51,60.24
52,59.36
53,59.77
54,59.98
55,60.25
56,60.37
57,59.13
58,61.12
59,60.98
60,60.77
61,61.49
62,61.47
63,61.49
64,58.79
65,60.8
66,61.76
67,61.4
68,61.33
69,61.33
70,60.82
71,61.42
72,60.38
73,60.71
74,61.76
75,61.87
76,62.42
77,62.2
78,61.73
79,61.6
80,61.57
81,62.43
82,61.68
83,61.79
84,59.9
85,59.19
86,61.0
87,61.34
88,61.45
89,61.15
90,60.56
91,62.76
92,63.09
93,61.64
94,61.89
95,61.75
96,61.07
97,61.68
98,62.4
99,62.9
100,62.46
