Round,Dataset,Local_Class,Accuracy
22,EMNIST,25,70.39
22,EMNIST,26,47.87
22,EMNIST,27,72.69
22,EMNIST,28,35.08
22,EMNIST,29,84.93
22,EMNIST,30,34.12
22,EMNIST,31,24.17
22,EMNIST,32,13.23
22,EMNIST,33,68.7
22,EMNIST,34,46.69
22,EMNIST,35,62.09
22,EMNIST,36,61.61
22,EMNIST,37,57.35
22,EMNIST,38,44.27
22,EMNIST,39,76.6
22,EMNIST,40,74.78
22,EMNIST,41,62.64
22,EMNIST,42,21.46
22,EMNIST,43,59.03
22,EMNIST,44,11.57
22,EMNIST,45,61.25
22,EMNIST,46,42.22
22,EMNIST,47,2.65
22,EMNIST,48,4.27
22,EMNIST,49,67.67
22,EMNIST,50,37.03
22,EMNIST,51,9.85
22,EMNIST,52,9.57
22,EMNIST,53,63.65
22,EMNIST,54,19.35
22,EMNIST,55,46.77
22,EMNIST,56,3.64
22,EMNIST,57,27.7
22,EMNIST,58,84.0
22,EMNIST,59,47.2
22,EMNIST,60,24.21
22,EMNIST,61,43.66
22,CIFAR10,0,35.27
22,CIFAR10,1,12.53
22,CIFAR10,2,11.21
22,CIFAR10,3,23.63
22,CIFAR10,4,0.0
22,CIFAR10,5,8.9
22,CIFAR10,6,0.0
22,CIFAR10,7,7.91
22,CIFAR10,8,0.0
22,CIFAR10,9,24.18
