Epoch,Accuracy
0,26.08
1,92.04
2,95.69
3,96.02
4,96.57
5,95.8
6,96.69
7,97.9
8,97.13
9,97.13
10,97.57
11,97.9
12,97.9
13,98.23
14,94.25
15,96.02
16,97.13
17,98.23
18,98.67
19,98.67
20,98.23
21,98.45
22,98.67
23,98.34
24,98.67
25,97.02
26,98.01
27,97.24
28,97.35
29,98.12
30,98.12
