Round,Accuracy
1,66.69
2,73.96
3,74.67
4,76.82
5,77.07
6,74.02
7,74.1
8,77.17
9,78.63
10,79.99
11,79.64
12,80.11
13,80.68
14,81.85
15,78.6
16,80.59
17,79.5
18,80.38
19,80.79
20,80.62
21,79.15
22,79.28
23,81.84
24,80.97
25,82.16
26,79.98
27,83.39
28,81.47
29,82.38
30,82.83
