Round,Accuracy
25,46.3
26,52.4
27,59.37
28,53.36
29,51.64
30,50.89
31,53.34
32,57.55
33,55.77
34,55.98
35,59.78
36,58.32
37,51.57
38,59.01
39,52.39
40,56.44
41,42.9
42,48.68
43,47.58
44,55.26
45,53.48
46,54.19
47,49.54
48,51.03
49,56.81
50,54.58
