thresh,recall,specificity,average_accuracy,TP,FP,TN,FN
0.1,0.1,1.0,0.55,1,0,1330,9
0.15,0.1,0.9992481203007518,0.5496240601503759,1,1,1329,9
0.2,0.1,0.9992481203007518,0.5496240601503759,1,1,1329,9
0.25,0.2,0.9992481203007518,0.599624060150376,2,1,1329,8
0.3,0.3,0.9992481203007518,0.6496240601503759,3,1,1329,7
0.35,0.5,0.9992481203007518,0.7496240601503759,5,1,1329,5
0.4,0.8,1.0,0.9,8,0,1330,2
0.45,0.6,1.0,0.8,6,0,1330,4
0.5,0.6,1.0,0.8,6,0,1330,4
0.55,0.6,1.0,0.8,6,0,1330,4
0.6,0.6,1.0,0.8,6,0,1330,4
0.65,0.7,1.0,0.85,7,0,1330,3
0.7,0.7,1.0,0.85,7,0,1330,3
0.75,0.8,1.0,0.9,8,0,1330,2
0.8,0.9,1.0,0.95,9,0,1330,1
0.85,0.9,1.0,0.95,9,0,1330,1
0.9,0.9,0.9954887218045113,0.9477443609022557,9,6,1324,1
0.95,0.9,0.9954887218045113,0.9477443609022557,9,6,1324,1
1.0,0.9,0.9954887218045113,0.9477443609022557,9,6,1324,1
