Round,Accuracy
1,0.97
2,0.71
3,1.28
4,0.94
5,1.22
6,2.28
7,1.07
8,0.66
9,1.99
10,1.69
11,0.67
12,0.93
13,1.56
14,1.51
15,2.1
16,1.59
17,1.66
18,1.46
19,1.13
20,1.95
21,0.75
22,1.72
23,0.92
24,1.24
25,0.92
26,0.69
27,1.65
28,1.19
29,1.25
30,0.94
31,0.91
32,1.34
33,0.8
34,0.68
35,1.45
36,1.01
37,0.69
38,0.91
39,0.64
40,0.76
41,0.58
42,0.54
43,0.51
44,0.76
45,0.72
46,0.59
47,1.05
48,0.87
49,0.94
50,1.42
51,1.28
52,1.12
53,0.93
54,0.86
55,0.8
56,0.94
57,0.91
58,1.54
59,0.97
60,1.14
61,1.17
62,0.99
63,1.14
64,1.38
65,0.9
66,1.21
67,0.78
68,1.04
69,1.2
70,0.99
71,1.67
72,1.52
73,0.7
74,0.68
75,1.1
76,1.12
77,0.77
78,0.95
79,0.77
80,1.12
81,0.84
82,1.01
83,1.01
84,0.81
85,1.46
86,0.86
87,0.78
88,0.77
89,1.19
90,1.09
91,1.0
92,1.01
93,0.76
94,0.51
95,1.38
96,1.11
97,1.38
98,1.04
99,1.04
100,1.25
