Round,Accuracy
1,5.71
2,6.49
3,3.84
4,4.33
5,5.54
6,9.78
7,6.99
8,4.59
9,5.01
10,6.15
11,6.19
12,4.0
13,5.44
14,2.45
15,5.96
16,1.99
17,5.43
18,4.1
19,3.27
20,2.91
21,3.9
22,3.84
23,4.85
24,6.64
25,4.75
26,4.76
27,4.78
28,2.67
29,3.43
30,3.78
31,2.82
32,4.71
33,4.24
34,4.81
35,3.71
36,4.84
37,3.74
38,4.79
39,3.48
40,3.12
41,3.34
42,2.68
43,2.88
44,3.03
45,2.95
46,3.97
47,5.08
48,2.82
49,2.56
50,4.26
51,3.64
52,4.71
53,3.38
54,3.67
55,2.89
56,3.97
57,3.6
58,3.16
59,3.49
60,3.12
61,3.18
62,2.74
63,4.2
64,3.08
65,2.71
66,2.35
67,3.3
68,1.71
69,2.29
70,2.56
71,3.19
72,1.99
73,1.75
74,1.92
75,3.66
76,4.16
77,2.59
78,1.78
79,3.05
80,2.29
81,2.21
82,2.71
83,2.13
84,2.36
85,3.44
86,3.73
87,2.57
88,1.82
89,1.97
90,1.91
91,2.32
92,1.71
93,2.54
94,2.0
95,3.08
96,2.45
97,1.96
98,2.22
99,2.68
100,4.56
