Epoch,Accuracy
0,0.44
1,14.67
2,23.11
3,26.44
4,30.11
5,31.22
6,32.22
7,33.33
8,34.56
9,33.78
10,35.78
11,37.33
12,36.89
13,37.67
14,37.67
15,38.33
16,40.11
17,39.11
18,39.44
19,40.67
20,40.0
21,41.44
22,43.11
23,41.78
24,41.44
25,43.67
26,41.22
27,44.11
28,43.0
29,45.22
30,44.89
