Round,Accuracy
20,74.06
21,75.34
22,76.29
23,75.37
24,74.58
25,77.02
26,80.35
27,81.26
28,79.14
29,81.29
30,78.8
31,77.43
32,80.78
33,81.07
34,81.28
35,80.26
36,81.32
37,82.52
38,82.44
39,82.81
40,80.94
41,81.43
42,81.33
43,78.0
44,78.96
45,78.98
46,82.64
47,81.24
48,81.81
49,83.87
50,80.35
51,82.53
52,82.48
53,81.74
54,82.37
55,81.52
56,83.35
57,80.22
58,82.44
59,81.97
60,84.48
61,82.34
62,82.31
63,82.37
64,82.93
65,83.72
66,83.14
67,84.51
68,83.84
69,83.26
70,82.56
