Round,Accuracy
20,96.78
21,97.5
22,97.16
23,97.57
24,98.42
25,97.97
26,98.57
27,98.71
28,98.46
29,98.96
30,99.16
31,98.8
32,98.87
33,99.05
34,99.11
35,98.86
36,99.09
37,98.97
38,99.26
39,99.22
40,99.0
41,99.0
42,99.19
43,97.2
44,98.96
45,98.85
46,98.98
47,99.22
48,99.18
49,99.24
50,99.26
51,99.3
52,99.23
53,99.07
54,99.4
55,99.19
56,99.3
57,99.34
58,99.05
59,99.24
60,99.46
61,99.14
62,99.32
63,99.3
64,99.41
65,99.44
66,99.4
67,99.15
68,99.12
69,99.43
70,99.3
