Round,Accuracy
20,32.24
21,40.57
22,44.23
23,48.35
24,48.71
25,52.16
26,55.36
27,58.45
28,57.36
29,58.35
30,62.96
31,60.56
32,65.14
33,66.57
34,63.25
35,67.62
36,67.18
37,70.82
38,71.3
39,72.95
40,71.75
41,72.27
42,73.44
43,75.26
44,75.03
45,75.98
46,76.68
47,76.46
48,76.04
49,76.7
50,77.45
51,78.32
52,77.02
53,77.97
54,78.1
55,77.73
56,77.09
57,78.78
58,76.91
59,78.63
60,78.71
61,80.02
62,78.97
63,79.58
64,80.3
65,80.13
66,79.93
67,79.62
68,81.08
69,80.08
70,80.86
