Round,Accuracy
20,75.7
21,76.43
22,77.26
23,75.79
24,74.75
25,77.36
26,80.94
27,81.72
28,79.36
29,81.74
30,78.42
31,77.04
32,80.57
33,80.77
34,81.3
35,79.75
36,81.01
37,82.11
38,81.96
39,82.24
40,80.17
41,80.71
42,80.47
43,76.59
44,77.58
45,77.53
46,81.75
47,80.1
48,80.81
49,83.17
50,78.98
51,81.45
52,81.51
53,80.58
54,81.28
55,80.32
56,82.52
57,78.7
58,81.49
59,80.77
60,83.69
61,81.1
62,81.14
63,81.16
64,81.74
65,82.67
66,82.02
67,83.67
68,82.76
69,82.14
70,81.26
