Round,Dataset,Local_Class,Accuracy
27,EMNIST,25,0.0
27,EMNIST,26,0.0
27,EMNIST,27,0.0
27,EMNIST,28,0.0
27,EMNIST,29,0.0
27,EMNIST,30,0.0
27,EMNIST,31,0.0
27,EMNIST,32,0.0
27,EMNIST,33,0.0
27,EMNIST,34,0.0
27,EMNIST,35,1.66
27,EMNIST,36,0.0
27,EMNIST,37,0.0
27,EMNIST,38,0.0
27,EMNIST,39,0.0
27,EMNIST,40,0.0
27,EMNIST,41,0.0
27,EMNIST,42,0.19
27,EMNIST,43,0.0
27,EMNIST,44,0.0
27,EMNIST,45,0.0
27,EMNIST,46,0.0
27,EMNIST,47,0.0
27,EMNIST,48,0.0
27,EMNIST,49,0.0
27,EMNIST,50,0.0
27,EMNIST,51,0.0
27,EMNIST,52,0.0
27,EMNIST,53,0.0
27,EMNIST,54,0.0
27,EMNIST,55,0.0
27,EMNIST,56,0.0
27,EMNIST,57,0.0
27,EMNIST,58,0.0
27,EMNIST,59,0.0
27,EMNIST,60,0.0
27,EMNIST,61,0.0
27,CIFAR10,0,40.0
27,CIFAR10,1,9.78
27,CIFAR10,2,16.37
27,CIFAR10,3,2.42
27,CIFAR10,4,27.36
27,CIFAR10,5,3.85
27,CIFAR10,6,72.53
27,CIFAR10,7,18.79
27,CIFAR10,8,23.52
27,CIFAR10,9,12.86
28,MNIST,0,83.05
28,MNIST,1,13.28
28,MNIST,2,87.11
28,MNIST,3,96.41
28,MNIST,4,97.87
28,MNIST,5,76.08
28,MNIST,6,22.96
28,MNIST,7,88.88
28,MNIST,8,89.16
28,MNIST,9,0.44
28,EMNIST,0,84.41
28,EMNIST,1,41.25
28,EMNIST,2,90.99
28,EMNIST,3,94.86
28,EMNIST,4,96.26
28,EMNIST,5,81.52
28,EMNIST,6,9.2
28,EMNIST,7,88.94
28,EMNIST,8,91.82
28,EMNIST,9,5.9
28,EMNIST,10,0.1
28,EMNIST,11,2.54
28,EMNIST,12,0.0
28,EMNIST,13,0.99
28,EMNIST,14,46.38
28,EMNIST,15,0.15
28,EMNIST,16,0.25
28,EMNIST,17,6.96
28,EMNIST,18,0.0
28,EMNIST,19,7.89
28,EMNIST,20,0.86
28,EMNIST,21,0.0
28,EMNIST,22,0.07
28,EMNIST,23,0.0
28,EMNIST,24,0.0
28,EMNIST,25,0.08
28,EMNIST,26,0.0
28,EMNIST,27,1.09
28,EMNIST,28,0.0
28,EMNIST,29,0.0
28,EMNIST,30,0.0
28,EMNIST,31,0.0
28,EMNIST,32,10.91
28,EMNIST,33,0.0
28,EMNIST,34,1.38
28,EMNIST,35,23.93
28,EMNIST,36,0.0
28,EMNIST,37,0.0
28,EMNIST,38,0.0
28,EMNIST,39,0.0
28,EMNIST,40,0.0
28,EMNIST,41,1.1
28,EMNIST,42,0.19
28,EMNIST,43,0.0
28,EMNIST,44,0.0
28,EMNIST,45,0.0
28,EMNIST,46,0.24
28,EMNIST,47,0.0
28,EMNIST,48,0.0
28,EMNIST,49,0.0
28,EMNIST,50,0.0
28,EMNIST,51,0.0
28,EMNIST,52,0.0
28,EMNIST,53,0.0
28,EMNIST,54,0.0
28,EMNIST,55,0.0
28,EMNIST,56,0.0
28,EMNIST,57,0.0
28,EMNIST,58,0.0
28,EMNIST,59,0.0
28,EMNIST,60,0.0
28,EMNIST,61,0.0
28,CIFAR10,0,32.2
28,CIFAR10,1,31.76
28,CIFAR10,2,8.57
28,CIFAR10,3,24.73
28,CIFAR10,4,12.97
28,CIFAR10,5,12.97
28,CIFAR10,6,67.69
28,CIFAR10,7,16.7
28,CIFAR10,8,17.36
28,CIFAR10,9,31.87
29,MNIST,0,92.48
29,MNIST,1,62.02
29,MNIST,2,80.4
29,MNIST,3,97.17
29,MNIST,4,92.39
29,MNIST,5,86.19
29,MNIST,6,39.61
29,MNIST,7,88.98
29,MNIST,8,89.05
29,MNIST,9,32.57
29,EMNIST,0,90.48
29,EMNIST,1,61.77
29,EMNIST,2,79.01
29,EMNIST,3,96.63
29,EMNIST,4,90.51
29,EMNIST,5,87.77
29,EMNIST,6,32.04
29,EMNIST,7,79.82
29,EMNIST,8,93.87
29,EMNIST,9,32.48
29,EMNIST,10,0.0
29,EMNIST,11,2.03
29,EMNIST,12,0.0
29,EMNIST,13,5.92
29,EMNIST,14,6.59
29,EMNIST,15,0.46
29,EMNIST,16,0.0
29,EMNIST,17,2.53
29,EMNIST,18,0.0
29,EMNIST,19,8.25
29,EMNIST,20,3.74
29,EMNIST,21,0.0
29,EMNIST,22,0.0
29,EMNIST,23,0.0
29,EMNIST,24,0.0
29,EMNIST,25,1.26
29,EMNIST,26,1.06
29,EMNIST,27,0.82
29,EMNIST,28,0.0
29,EMNIST,29,0.0
29,EMNIST,30,0.0
29,EMNIST,31,0.0
29,EMNIST,32,0.95
29,EMNIST,33,0.0
29,EMNIST,34,10.47
29,EMNIST,35,1.9
29,EMNIST,36,0.0
29,EMNIST,37,0.0
29,EMNIST,38,0.0
29,EMNIST,39,0.0
29,EMNIST,40,0.0
29,EMNIST,41,0.0
29,EMNIST,42,0.0
29,EMNIST,43,0.0
29,EMNIST,44,0.0
29,EMNIST,45,1.04
29,EMNIST,46,0.0
29,EMNIST,47,0.0
29,EMNIST,48,0.0
29,EMNIST,49,0.0
29,EMNIST,50,0.0
29,EMNIST,51,0.0
29,EMNIST,52,0.0
29,EMNIST,53,0.0
29,EMNIST,54,0.0
29,EMNIST,55,0.0
29,EMNIST,56,0.0
29,EMNIST,57,0.0
29,EMNIST,58,0.0
29,EMNIST,59,0.23
29,EMNIST,60,0.29
29,EMNIST,61,0.0
29,CIFAR10,0,26.15
29,CIFAR10,1,27.03
29,CIFAR10,2,14.62
29,CIFAR10,3,15.82
29,CIFAR10,4,10.44
29,CIFAR10,5,11.43
29,CIFAR10,6,51.87
29,CIFAR10,7,33.85
