Round,Accuracy
1,71.46
2,71.58
3,71.35
4,71.9
5,70.53
6,77.53
7,75.63
8,75.63
9,79.79
10,75.45
11,76.59
12,76.69
13,78.87
14,77.0
15,77.45
16,75.25
17,80.13
18,77.57
19,80.23
20,79.9
21,78.52
22,78.69
23,82.34
24,77.94
25,82.77
26,78.62
27,80.88
28,78.42
29,78.91
30,80.45
