Round,Accuracy
1,25.92
2,34.12
3,40.93
4,43.7
5,48.08
6,52.26
7,51.71
8,57.38
9,57.86
10,60.64
11,59.15
12,61.25
13,63.53
14,65.37
15,65.97
16,64.57
17,65.51
18,68.7
19,68.75
20,67.49
21,68.93
22,70.44
23,67.74
24,71.47
25,72.26
26,71.4
27,72.47
28,70.38
29,74.58
30,73.63
