Round,Accuracy
20,67.92
21,69.77
22,69.97
23,72.86
24,69.67
25,72.52
26,73.13
27,73.8
28,72.83
29,71.84
30,73.39
31,73.46
32,74.1
33,72.66
34,74.22
35,72.4
36,72.33
37,73.14
38,73.77
39,74.63
40,73.77
41,74.83
42,75.69
43,73.51
44,74.3
45,74.48
46,73.88
47,73.92
48,74.11
49,74.15
50,73.4
51,75.0
