Epoch,Accuracy
0,1.27
1,80.57
2,84.24
3,84.71
4,84.36
5,85.16
6,84.89
7,85.13
8,84.56
9,85.3
10,85.4
11,85.24
12,85.51
13,85.19
14,85.49
15,85.36
16,84.48
17,84.21
18,83.96
19,84.38
20,83.53
21,83.65
22,83.64
23,83.39
24,83.83
25,83.64
26,83.03
27,83.2
28,83.39
29,83.19
30,82.81
