thresh,recall,specificity,average_accuracy,TP,FP,TN,FN
0.1,0.5,1.0,0.75,5,0,1330,5
0.15,0.6,1.0,0.8,6,0,1330,4
0.2,0.5,0.9977443609022556,0.7488721804511278,5,3,1327,5
0.25,0.7,0.9977443609022556,0.8488721804511278,7,3,1327,3
0.3,0.7,0.9977443609022556,0.8488721804511278,7,3,1327,3
0.35,0.7,0.9977443609022556,0.8488721804511278,7,3,1327,3
0.4,0.7,0.9992481203007518,0.849624060150376,7,1,1329,3
0.45,0.8,0.9992481203007518,0.899624060150376,8,1,1329,2
0.5,0.7,0.9977443609022556,0.8488721804511278,7,3,1327,3
0.55,0.6,0.9992481203007518,0.7996240601503759,6,1,1329,4
0.6,0.7,0.9977443609022556,0.8488721804511278,7,3,1327,3
0.65,0.8,0.9977443609022556,0.8988721804511278,8,3,1327,2
0.7,0.8,0.9977443609022556,0.8988721804511278,8,3,1327,2
0.75,0.8,0.9977443609022556,0.8988721804511278,8,3,1327,2
0.8,0.8,0.9977443609022556,0.8988721804511278,8,3,1327,2
0.85,0.8,0.9977443609022556,0.8988721804511278,8,3,1327,2
0.9,0.8,0.9977443609022556,0.8988721804511278,8,3,1327,2
0.95,0.8,0.9977443609022556,0.8988721804511278,8,3,1327,2
1.0,0.8,0.9977443609022556,0.8988721804511278,8,3,1327,2
