Round,Accuracy
20,90.85
21,94.84
22,94.43
23,90.31
24,78.15
25,96.42
26,96.68
27,95.47
28,96.07
29,97.34
30,60.74
31,96.43
32,95.69
33,97.05
34,97.71
35,94.68
36,97.08
37,97.37
38,97.45
39,97.79
40,96.73
41,98.19
42,96.47
43,97.81
44,96.67
45,98.11
46,97.98
47,97.98
48,98.23
49,97.97
50,97.99
