Round,Dataset,Local_Class,Accuracy
22,EMNIST,25,75.04
22,EMNIST,26,89.89
22,EMNIST,27,89.67
22,EMNIST,28,9.56
22,EMNIST,29,90.86
22,EMNIST,30,80.05
22,EMNIST,31,43.37
22,EMNIST,32,75.31
22,EMNIST,33,40.2
22,EMNIST,34,68.73
22,EMNIST,35,61.14
22,EMNIST,36,75.12
22,EMNIST,37,74.48
22,EMNIST,38,2.8
22,EMNIST,39,85.23
22,EMNIST,40,74.57
22,EMNIST,41,49.45
22,EMNIST,42,46.46
22,EMNIST,43,86.69
22,EMNIST,44,64.01
22,EMNIST,45,62.28
22,EMNIST,46,38.68
22,EMNIST,47,68.24
22,EMNIST,48,46.68
22,EMNIST,49,92.93
22,EMNIST,50,57.55
22,EMNIST,51,48.66
22,EMNIST,52,37.17
22,EMNIST,53,88.77
22,EMNIST,54,57.54
22,EMNIST,55,84.9
22,EMNIST,56,25.51
22,EMNIST,57,64.79
22,EMNIST,58,68.24
22,EMNIST,59,85.98
22,EMNIST,60,36.6
22,EMNIST,61,71.22
22,CIFAR10,0,30.33
22,CIFAR10,1,51.65
22,CIFAR10,2,1.87
22,CIFAR10,3,24.18
22,CIFAR10,4,63.3
22,CIFAR10,5,11.98
22,CIFAR10,6,26.48
22,CIFAR10,7,58.57
22,CIFAR10,8,51.76
22,CIFAR10,9,55.71
23,MNIST,0,91.13
23,MNIST,1,77.62
23,MNIST,2,88.71
23,MNIST,3,94.99
23,MNIST,4,95.41
23,MNIST,5,87.05
23,MNIST,6,95.18
23,MNIST,7,87.7
23,MNIST,8,96.28
23,MNIST,9,90.96
23,EMNIST,0,4.78
23,EMNIST,1,39.65
23,EMNIST,2,67.0
23,EMNIST,3,92.35
23,EMNIST,4,88.8
23,EMNIST,5,66.01
23,EMNIST,6,80.7
23,EMNIST,7,88.66
23,EMNIST,8,81.53
23,EMNIST,9,38.18
23,EMNIST,10,84.06
23,EMNIST,11,91.36
23,EMNIST,12,33.21
23,EMNIST,13,71.09
23,EMNIST,14,92.76
23,EMNIST,15,65.8
23,EMNIST,16,92.87
23,EMNIST,17,92.19
23,EMNIST,18,37.49
23,EMNIST,19,67.37
23,EMNIST,20,57.47
23,EMNIST,21,92.27
23,EMNIST,22,26.89
23,EMNIST,23,86.82
23,EMNIST,24,15.85
23,EMNIST,25,78.74
23,EMNIST,26,88.03
23,EMNIST,27,88.72
23,EMNIST,28,79.69
23,EMNIST,29,93.51
23,EMNIST,30,60.27
23,EMNIST,31,52.62
23,EMNIST,32,81.17
23,EMNIST,33,48.35
23,EMNIST,34,46.69
23,EMNIST,35,64.69
23,EMNIST,36,86.69
23,EMNIST,37,86.34
23,EMNIST,38,81.17
23,EMNIST,39,91.05
23,EMNIST,40,97.12
23,EMNIST,41,50.27
23,EMNIST,42,71.83
23,EMNIST,43,75.09
23,EMNIST,44,72.24
23,EMNIST,45,79.93
23,EMNIST,46,71.7
23,EMNIST,47,2.91
23,EMNIST,48,88.15
23,EMNIST,49,87.2
23,EMNIST,50,85.38
23,EMNIST,51,42.39
23,EMNIST,52,55.43
23,EMNIST,53,93.7
23,EMNIST,54,15.58
23,EMNIST,55,84.27
23,EMNIST,56,60.59
23,EMNIST,57,51.17
23,EMNIST,58,58.12
23,EMNIST,59,83.88
23,EMNIST,60,66.28
23,EMNIST,61,79.27
23,CIFAR10,0,14.51
23,CIFAR10,1,25.49
23,CIFAR10,2,21.1
23,CIFAR10,3,23.3
23,CIFAR10,4,41.65
23,CIFAR10,5,27.8
23,CIFAR10,6,57.91
23,CIFAR10,7,43.63
23,CIFAR10,8,85.16
23,CIFAR10,9,60.33
24,MNIST,0,65.99
24,MNIST,1,100.0
24,MNIST,2,75.72
24,MNIST,3,97.61
24,MNIST,4,89.36
24,MNIST,5,88.9
24,MNIST,6,81.4
24,MNIST,7,66.84
24,MNIST,8,69.53
24,MNIST,9,44.77
24,EMNIST,0,50.03
24,EMNIST,1,88.77
24,EMNIST,2,92.9
24,EMNIST,3,98.51
24,EMNIST,4,93.25
24,EMNIST,5,90.08
24,EMNIST,6,92.65
24,EMNIST,7,85.29
24,EMNIST,8,90.74
24,EMNIST,9,89.3
24,EMNIST,10,69.36
24,EMNIST,11,63.56
24,EMNIST,12,53.95
24,EMNIST,13,72.78
24,EMNIST,14,88.76
24,EMNIST,15,86.64
24,EMNIST,16,68.3
24,EMNIST,17,80.17
24,EMNIST,18,17.67
24,EMNIST,19,85.09
24,EMNIST,20,74.14
24,EMNIST,21,92.4
24,EMNIST,22,34.37
24,EMNIST,23,95.52
24,EMNIST,24,11.51
24,EMNIST,25,77.8
24,EMNIST,26,73.67
24,EMNIST,27,59.78
24,EMNIST,28,66.18
24,EMNIST,29,89.39
24,EMNIST,30,62.75
24,EMNIST,31,37.02
24,EMNIST,32,77.63
24,EMNIST,33,50.38
24,EMNIST,34,69.28
24,EMNIST,35,33.89
24,EMNIST,36,78.46
24,EMNIST,37,79.51
24,EMNIST,38,51.65
24,EMNIST,39,80.07
24,EMNIST,40,93.79
24,EMNIST,41,7.42
24,EMNIST,42,19.4
24,EMNIST,43,52.12
24,EMNIST,44,53.73
24,EMNIST,45,67.82
24,EMNIST,46,40.8
24,EMNIST,47,6.94
24,EMNIST,48,75.59
24,EMNIST,49,84.18
24,EMNIST,50,59.2
24,EMNIST,51,31.34
24,EMNIST,52,19.78
24,EMNIST,53,90.14
24,EMNIST,54,18.84
24,EMNIST,55,87.39
24,EMNIST,56,58.54
24,EMNIST,57,71.36
24,EMNIST,58,42.35
24,EMNIST,59,75.93
24,EMNIST,60,18.44
24,EMNIST,61,47.8
24,CIFAR10,0,39.01
24,CIFAR10,1,62.97
24,CIFAR10,2,37.47
24,CIFAR10,3,16.59
24,CIFAR10,4,6.15
24,CIFAR10,5,52.97
24,CIFAR10,6,41.54
24,CIFAR10,7,37.14
24,CIFAR10,8,82.42
24,CIFAR10,9,25.27
25,MNIST,0,98.65
25,MNIST,1,93.7
25,MNIST,2,95.42
25,MNIST,3,98.15
25,MNIST,4,96.86
25,MNIST,5,94.82
25,MNIST,6,97.93
25,MNIST,7,97.65
25,MNIST,8,95.82
25,MNIST,9,95.42
25,EMNIST,0,34.74
25,EMNIST,1,16.91
25,EMNIST,2,81.99
25,EMNIST,3,97.77
25,EMNIST,4,86.42
25,EMNIST,5,86.31
25,EMNIST,6,90.92
25,EMNIST,7,97.56
25,EMNIST,8,90.76
25,EMNIST,9,82.44
25,EMNIST,10,89.54
25,EMNIST,11,92.03
25,EMNIST,12,81.78
25,EMNIST,13,92.1
25,EMNIST,14,95.09
25,EMNIST,15,74.05
25,EMNIST,16,90.91
25,EMNIST,17,95.78
25,EMNIST,18,83.78
25,EMNIST,19,82.46
25,EMNIST,20,78.16
25,EMNIST,21,93.49
25,EMNIST,22,26.44
25,EMNIST,23,88.93
25,EMNIST,24,0.85
25,EMNIST,25,62.44
25,EMNIST,26,88.56
25,EMNIST,27,89.4
25,EMNIST,28,68.12
25,EMNIST,29,95.95
25,EMNIST,30,76.92
25,EMNIST,31,75.28
25,EMNIST,32,62.07
25,EMNIST,33,66.92
25,EMNIST,34,71.49
25,EMNIST,35,82.23
25,EMNIST,36,85.55
25,EMNIST,37,89.3
25,EMNIST,38,21.12
25,EMNIST,39,94.77
25,EMNIST,40,89.35
25,EMNIST,41,46.98
25,EMNIST,42,59.33
25,EMNIST,43,88.55
25,EMNIST,44,39.33
25,EMNIST,45,63.32
25,EMNIST,46,52.83
25,EMNIST,47,28.03
25,EMNIST,48,81.75
25,EMNIST,49,93.22
25,EMNIST,50,82.08
25,EMNIST,51,59.1
25,EMNIST,52,28.26
25,EMNIST,53,89.53
25,EMNIST,54,29.65
25,EMNIST,55,88.84
25,EMNIST,56,40.55
25,EMNIST,57,19.72
25,EMNIST,58,77.65
25,EMNIST,59,72.2
25,EMNIST,60,51.59
25,EMNIST,61,50.98
25,CIFAR10,0,43.63
25,CIFAR10,1,77.8
25,CIFAR10,2,26.04
25,CIFAR10,3,47.03
25,CIFAR10,4,44.07
25,CIFAR10,5,34.95
25,CIFAR10,6,33.85
25,CIFAR10,7,47.03
25,CIFAR10,8,52.2
25,CIFAR10,9,55.27
26,MNIST,0,98.43
26,MNIST,1,97.0
26,MNIST,2,94.78
26,MNIST,3,98.15
26,MNIST,4,96.64
26,MNIST,5,98.27
26,MNIST,6,90.36
26,MNIST,7,99.04
26,MNIST,8,97.07
26,MNIST,9,96.95
26,EMNIST,0,30.02
26,EMNIST,1,57.67
26,EMNIST,2,82.33
26,EMNIST,3,96.31
26,EMNIST,4,84.24
26,EMNIST,5,90.04
26,EMNIST,6,59.76
26,EMNIST,7,98.89
26,EMNIST,8,91.74
26,EMNIST,9,85.18
26,EMNIST,10,91.3
26,EMNIST,11,91.19
26,EMNIST,12,47.56
26,EMNIST,13,83.78
26,EMNIST,14,91.99
26,EMNIST,15,54.96
26,EMNIST,16,93.86
26,EMNIST,17,96.84
26,EMNIST,18,49.46
26,EMNIST,19,37.54
26,EMNIST,20,91.95
26,EMNIST,21,93.22
26,EMNIST,22,15.56
26,EMNIST,23,95.77
26,EMNIST,24,0.95
26,EMNIST,25,55.67
26,EMNIST,26,90.43
26,EMNIST,27,94.84
26,EMNIST,28,54.08
26,EMNIST,29,89.95
26,EMNIST,30,85.38
26,EMNIST,31,52.21
26,EMNIST,32,63.44
26,EMNIST,33,82.44
26,EMNIST,34,48.21
26,EMNIST,35,20.62
26,EMNIST,36,82.74
26,EMNIST,37,94.85
26,EMNIST,38,70.23
26,EMNIST,39,96.54
