Epoch,Accuracy
0,91.0
1,86.89
2,86.78
3,86.0
4,86.44
5,88.33
6,81.89
7,86.78
8,84.11
9,88.56
10,86.89
11,89.89
12,86.56
13,86.89
14,88.67
15,86.44
16,88.33
17,87.22
18,89.22
19,88.89
20,88.89
21,90.33
22,90.44
23,88.33
24,86.89
25,89.33
26,89.44
27,87.67
28,89.11
29,88.67
30,89.89
