Time: 2026-04-18 06:08:34
Log Dir: /home/unshun/multi-FL/logs/Local_noniid_het_gb40/new_client_2026-04-18_06-08-34/
================================================================================Loading checkpoints from logs/Local_noniid_het_gb40/Local/
Method selected: NAYER
Loaded SqueezeNet for CIFAR10 from client_model_CIFAR10_c31_SqueezeNet.pth
Loaded MLP for CIFAR10 from client_model_CIFAR10_c22_MLP.pth
Loaded ResNet8 for CIFAR10 from client_model_CIFAR10_c24_ResNet8.pth
Loaded CNN for CIFAR10 from client_model_CIFAR10_c23_CNN.pth
Loaded ResNet18 for CIFAR10 from client_model_CIFAR10_c25_ResNet18.pth
Loaded MobileNetV2 for CIFAR10 from client_model_CIFAR10_c26_MobileNetV2.pth
Loaded LeNet for CIFAR10 from client_model_CIFAR10_c28_LeNet.pth
Loaded ShuffleNet for CIFAR10 from client_model_CIFAR10_c30_ShuffleNet.pth
Loaded MobileNetV3 for CIFAR10 from client_model_CIFAR10_c27_MobileNetV3.pth
Loaded AlexNet for CIFAR10 from client_model_CIFAR10_c29_AlexNet.pth
WARNING: No models loaded for dataset: FashionMNIST.
WARNING: No models loaded for dataset: CIFAR100.

========================================
>>> [METHOD: SYNTHETIC] Starting Synthetic Label Mapping...
========================================
>>> Target Methods to Run: ['NAYER']
>>> [Syn] Loaded client data distributions directly from server checkpoint.

########################################
>>> [Syn] Running Method: NAYER
########################################

>>> Syn-NAYER Training New Generators...
[Testing] Training Per-Dataset Generators Offline (New Gen Method) using NAYER...
--- NAYER Generator Configuration ---
    epochs: 120
    g_loops: 2
    g_steps: 30
    g_life: 10
    kd_steps: 400
    warmup: 20
    gwp_loops: 10
    lr_g: 0.004
    ce: 0.5
    bn: 10.0
    adv: 1.33
    student_lr: 0.2
------------------------------------
    -> Loading CLIP ViT-B/32 label embeddings for 10 classes...
    -> [Epoch 0] Student Test Accuracy for CIFAR10: 10.00%
    -> [Epoch 1] Student Test Accuracy for CIFAR10: 9.24%
    -> [Epoch 2] Student Test Accuracy for CIFAR10: 9.27%
    -> [Epoch 3] Student Test Accuracy for CIFAR10: 8.78%
    -> [Epoch 4] Student Test Accuracy for CIFAR10: 9.11%
    -> [Epoch 5] Student Test Accuracy for CIFAR10: 9.31%
    -> [Epoch 6] Student Test Accuracy for CIFAR10: 9.87%
    -> [Epoch 7] Student Test Accuracy for CIFAR10: 9.72%
    -> [Epoch 8] Student Test Accuracy for CIFAR10: 8.66%
    -> [Epoch 9] Student Test Accuracy for CIFAR10: 10.05%
    -> [Epoch 10] Student Test Accuracy for CIFAR10: 11.36%
    -> [Epoch 11] Student Test Accuracy for CIFAR10: 11.61%
    -> [Epoch 12] Student Test Accuracy for CIFAR10: 10.82%
    -> [Epoch 13] Student Test Accuracy for CIFAR10: 10.32%
    -> [Epoch 14] Student Test Accuracy for CIFAR10: 9.73%
    -> [Epoch 15] Student Test Accuracy for CIFAR10: 9.22%
    -> [Epoch 16] Student Test Accuracy for CIFAR10: 9.51%
    -> [Epoch 17] Student Test Accuracy for CIFAR10: 11.19%
    -> [Epoch 18] Student Test Accuracy for CIFAR10: 9.54%
    -> [Epoch 19] Student Test Accuracy for CIFAR10: 9.00%
    -> [Epoch 20] Student Test Accuracy for CIFAR10: 8.84%
    -> [Epoch 21] Student Test Accuracy for CIFAR10: 11.00%
    -> [Epoch 22] Student Test Accuracy for CIFAR10: 9.78%
    -> [Epoch 23] Student Test Accuracy for CIFAR10: 10.35%
    -> [Epoch 24] Student Test Accuracy for CIFAR10: 7.75%
    -> [Epoch 25] Student Test Accuracy for CIFAR10: 9.05%
