Round,Accuracy
1,72.43
2,75.64
3,82.23
4,83.73
5,82.11
6,85.58
7,84.7
8,83.77
9,84.4
10,86.93
11,86.23
12,85.57
13,86.67
14,86.84
15,88.08
16,87.07
17,87.91
18,87.92
19,88.26
20,87.74
21,89.24
22,88.48
23,88.9
24,89.33
25,89.18
26,89.97
27,88.63
28,89.63
29,87.54
30,88.81
