Round,Accuracy
1,94.79
2,97.86
3,97.94
4,98.05
5,94.59
6,97.98
7,97.06
8,98.77
9,98.3
10,98.37
11,98.48
12,98.71
13,98.79
14,99.01
15,98.67
16,98.65
17,98.34
18,99.09
19,99.3
20,99.23
21,98.98
22,98.91
23,98.93
24,98.88
25,99.35
26,99.03
27,98.81
28,98.72
29,98.89
30,99.31
