Round,Accuracy
1,0.09
2,26.91
3,60.64
4,66.34
5,71.97
6,72.81
7,74.96
8,75.64
9,76.31
10,77.35
11,74.74
12,78.73
13,78.67
14,78.92
15,79.2
16,78.69
17,79.2
18,79.16
19,80.27
20,80.13
21,80.6
22,77.69
23,80.32
24,78.56
25,81.03
26,79.08
27,80.7
28,78.66
29,79.95
30,81.47
