Round,Accuracy
20,57.95
21,61.95
22,52.96
23,60.29
24,60.81
25,54.8
26,55.85
27,55.33
28,56.5
29,57.97
30,52.97
31,56.6
32,60.89
33,56.69
34,55.93
35,61.13
36,60.04
37,56.56
38,54.75
39,52.32
40,57.21
41,53.82
42,58.0
43,55.54
44,51.31
45,52.06
46,53.43
47,56.51
48,60.26
49,60.39
50,57.57
51,63.22
52,55.04
53,51.61
54,49.87
55,46.67
56,59.1
57,62.84
58,63.68
59,62.48
60,58.09
61,64.79
62,59.06
63,56.85
64,62.29
65,66.65
66,58.14
67,59.63
68,61.14
69,60.62
70,56.73
71,60.15
72,58.22
73,58.66
74,52.8
75,55.93
76,47.23
77,53.39
78,53.88
79,49.33
80,46.38
81,42.5
82,44.95
83,47.03
84,48.64
85,52.78
86,54.69
87,51.45
88,43.99
89,51.91
90,46.33
91,41.41
92,43.81
93,45.15
94,47.34
95,56.55
96,38.21
97,30.63
98,45.57
99,27.39
100,14.74
