Round,Accuracy
20,92.82
21,89.42
22,94.71
23,94.35
24,96.07
25,94.02
26,93.74
27,94.82
28,96.59
29,95.14
30,94.15
31,94.5
32,95.59
33,95.17
34,94.17
35,95.76
36,96.54
37,93.17
38,94.66
39,94.82
40,92.46
41,95.37
42,96.57
43,93.77
44,93.52
45,93.4
46,92.8
47,92.72
48,94.94
49,95.45
50,95.91
51,95.54
52,95.91
53,95.62
54,92.88
55,93.39
56,95.05
57,96.07
58,96.04
59,92.47
60,93.06
61,91.13
62,91.63
63,94.95
64,93.77
65,94.39
66,93.22
67,83.06
68,74.74
69,72.91
70,78.76
71,86.15
72,86.28
73,86.27
74,75.01
75,87.0
76,58.48
77,75.34
78,88.47
79,73.32
80,64.83
81,52.36
82,54.65
83,53.35
84,53.01
85,60.36
86,85.45
87,68.42
88,60.23
89,72.75
90,58.43
91,51.92
92,66.77
93,60.15
94,62.19
95,79.26
96,37.98
97,37.15
98,63.45
99,27.62
100,9.79
