Round,Accuracy
20,60.18
21,65.87
22,65.94
23,65.09
24,70.52
25,66.5
26,67.88
27,68.37
28,68.54
29,70.94
30,69.51
31,69.92
32,69.04
33,69.52
34,70.57
35,71.68
36,72.76
37,70.54
38,71.41
39,71.63
40,73.04
41,72.88
42,72.43
43,71.78
44,72.08
45,72.64
46,72.22
47,71.28
48,71.63
49,72.29
50,72.98
51,73.89
52,72.78
53,73.25
54,71.48
55,71.91
56,72.14
57,73.59
58,72.76
59,73.24
60,73.59
61,73.45
62,73.2
63,73.37
64,72.66
65,73.47
66,73.19
67,73.88
68,73.4
69,74.27
70,75.29
