global_round,missing_threshold,recall,specificity,precision,average_accuracy,f1_score,mcc,TP,FP,TN,FN
5,0.1,0.5087719298245614,0.9851245014552118,0.4566929133858268,0.7469482156398866,0.48132780082987553,0.4685931019134253,116,138,9139,112
5,0.15,0.4956140350877193,0.9857712622615069,0.46122448979591835,0.740692648674613,0.47780126849894294,0.46481002682627887,113,132,9145,115
5,0.2,0.4780701754385965,0.9877115446803924,0.48878923766816146,0.7328908600594944,0.48337028824833705,0.470847673226044,109,114,9163,119
5,0.25,0.44298245614035087,0.9878193381481082,0.4719626168224299,0.7154008971442295,0.4570135746606334,0.4443350663478977,101,113,9164,127
5,0.3,0.4298245614035088,0.9883583054866875,0.47572815533980584,0.7090914334450982,0.4516129032258065,0.4394259531259782,98,108,9169,130
5,0.35,0.41228070175438597,0.9883583054866875,0.46534653465346537,0.7003195036205367,0.4372093023255814,0.4250472763697622,94,108,9169,134
5,0.4,0.41228070175438597,0.9890050662929827,0.47959183673469385,0.7006428840236844,0.44339622641509435,0.43206134010700464,94,102,9175,134
5,0.45,0.40350877192982454,0.9898674140347095,0.4946236559139785,0.696688092982267,0.4444444444444445,0.4345483838662254,92,94,9183,136
5,0.5,0.39473684210526316,0.9907297617764363,0.5113636363636364,0.6927333019408497,0.44554455445544555,0.43750606602343095,90,86,9191,138
5,0.55,0.39035087719298245,0.9907297617764363,0.5085714285714286,0.6905403194847094,0.4416873449131513,0.43373876677107737,89,86,9191,139
5,0.6,0.34210526315789475,0.992562250727606,0.5306122448979592,0.6673337569427503,0.416,0.41498707589004996,78,69,9208,150
5,0.65,0.32456140350877194,0.9950415004850706,0.6166666666666667,0.6598014519969213,0.4252873563218391,0.43800004696043654,74,46,9231,154
5,0.7,0.2543859649122807,0.9968739894362402,0.6666666666666666,0.6256299771742604,0.3682539682539682,0.40369698784485536,58,29,9248,170
5,0.75,0.15350877192982457,0.9974129567748194,0.5932203389830508,0.575460864352322,0.24390243902439024,0.29401737540142103,35,24,9253,193
5,0.8,0.15350877192982457,0.9980597175811146,0.660377358490566,0.5757842447554695,0.2491103202846975,0.3114442614146678,35,18,9259,193
5,0.85,0.14912280701754385,0.9980597175811146,0.6538461538461539,0.5735912622993292,0.24285714285714283,0.30530994364482683,34,18,9259,194
5,0.9,0.14912280701754385,0.9980597175811146,0.6538461538461539,0.5735912622993292,0.24285714285714283,0.30530994364482683,34,18,9259,194
5,0.95,0.14473684210526316,1.0,1.0,0.5723684210526316,0.2528735632183908,0.3765065015571361,33,0,9277,195
5,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0,0,9277,228
10,0.1,0.5789473684210527,0.9857712622615069,0.5,0.7823593153412798,0.5365853658536586,0.5258257731407663,132,132,9145,96
10,0.15,0.5701754385964912,0.9862024361323704,0.5038759689922481,0.7781889373644308,0.5349794238683128,0.5238787363015844,130,128,9149,98
10,0.2,0.5570175438596491,0.986525816535518,0.503968253968254,0.7717716801975836,0.5291666666666667,0.5176829305893615,127,125,9152,101
10,0.25,0.543859649122807,0.9868491969386655,0.5040650406504065,0.7653544230307363,0.5232067510548524,0.5114202649426998,124,122,9155,104
10,0.3,0.5175438596491229,0.9868491969386655,0.49166666666666664,0.7521965282938942,0.5042735042735043,0.49193980949461036,118,122,9155,110
10,0.35,0.5,0.98803492508354,0.5066666666666667,0.7440174625417699,0.5033112582781457,0.49119830220207406,114,111,9166,114
10,0.4,0.49122807017543857,0.98803492508354,0.5022421524663677,0.7396314976294893,0.4966740576496674,0.4844755739306115,112,111,9166,116
10,0.45,0.4868421052631579,0.9886816858898351,0.5138888888888888,0.7377618955764965,0.5,0.48823858129189657,111,105,9172,117
10,0.5,0.4868421052631579,0.9886816858898351,0.5138888888888888,0.7377618955764965,0.5,0.48823858129189657,111,105,9172,117
10,0.55,0.4649122807017544,0.990945348711868,0.5578947368421052,0.7279288147068113,0.5071770334928231,0.4983474030345838,106,84,9193,122
10,0.6,0.3991228070175439,0.9927778376630376,0.5759493670886076,0.6959503223402908,0.47150259067357514,0.4690104452012423,91,67,9210,137
10,0.65,0.35526315789473684,0.9942869462110596,0.6044776119402985,0.6747750520528982,0.4475138121546961,0.4536649942589476,81,53,9224,147
10,0.7,0.27631578947368424,0.9962272286299451,0.6428571428571429,0.6362715090518146,0.3865030674846626,0.41282658107241743,63,35,9242,165
10,0.75,0.19298245614035087,0.9968739894362402,0.6027397260273972,0.5949282227882955,0.292358803986711,0.3327616136228788,44,29,9248,184
10,0.8,0.18421052631578946,0.9979519241133987,0.6885245901639344,0.591081225214594,0.29065743944636674,0.34904960816846564,42,19,9258,186
10,0.85,0.16666666666666666,0.9980597175811146,0.6785714285714286,0.5823631921238906,0.2676056338028169,0.32934223586583466,38,18,9259,190
10,0.9,0.15789473684210525,0.998490891451978,0.72,0.5781928141470416,0.2589928057553956,0.3307899240119802,36,14,9263,192
10,0.95,0.12280701754385964,0.9997844130645683,0.9333333333333333,0.561295715304214,0.21705426356589147,0.33441140329732644,28,2,9275,200
10,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0,0,9277,228
15,0.1,0.6052631578947368,0.9860946426646545,0.5168539325842697,0.7956789002796957,0.5575757575757576,0.5476170004557029,138,129,9148,90
