entropy_ratio,recall,specificity,precision,average_accuracy,f1_score,mcc,TP,FP,TN,FN
0.1,0.6,1.0,1.0,0.8,0.7499999999999999,0.7734344830366855,6,0,1330,4
0.15,0.6,1.0,1.0,0.8,0.7499999999999999,0.7734344830366855,6,0,1330,4
0.2,0.6,1.0,1.0,0.8,0.7499999999999999,0.7734344830366855,6,0,1330,4
0.25,0.6,1.0,1.0,0.8,0.7499999999999999,0.7734344830366855,6,0,1330,4
0.3,0.7,1.0,1.0,0.85,0.8235294117647058,0.8357180183240863,7,0,1330,3
0.35,0.9,1.0,1.0,0.95,0.9473684210526316,0.9483268511853856,9,0,1330,1
0.4,0.8,0.9984962406015038,0.8,0.8992481203007519,0.8000000000000002,0.7984962406015037,8,2,1328,2
0.45,0.9,1.0,1.0,0.95,0.9473684210526316,0.9483268511853856,9,0,1330,1
0.5,0.9,1.0,1.0,0.95,0.9473684210526316,0.9483268511853856,9,0,1330,1
0.55,0.9,1.0,1.0,0.95,0.9473684210526316,0.9483268511853856,9,0,1330,1
0.6,0.9,1.0,1.0,0.95,0.9473684210526316,0.9483268511853856,9,0,1330,1
0.65,0.9,1.0,1.0,0.95,0.9473684210526316,0.9483268511853856,9,0,1330,1
0.7,0.9,1.0,1.0,0.95,0.9473684210526316,0.9483268511853856,9,0,1330,1
0.75,1.0,1.0,1.0,1.0,1.0,1.0,10,0,1330,0
0.8,1.0,0.9992481203007518,0.9090909090909091,0.9996240601503759,0.9523809523809523,0.9531040772610264,10,1,1329,0
0.85,1.0,0.9992481203007518,0.9090909090909091,0.9996240601503759,0.9523809523809523,0.9531040772610264,10,1,1329,0
0.9,1.0,0.9984962406015038,0.8333333333333334,0.9992481203007519,0.9090909090909091,0.9121843018278999,10,2,1328,0
0.95,1.0,0.9984962406015038,0.8333333333333334,0.9992481203007519,0.9090909090909091,0.9121843018278999,10,2,1328,0
1.0,1.0,0.9984962406015038,0.8333333333333334,0.9992481203007519,0.9090909090909091,0.9121843018278999,10,2,1328,0
