Epoch,Accuracy
1,5.092715971905814
2,3.7077792010178556
3,3.520370004212409
4,3.5169313033535934
5,3.5177909785682973
6,3.5229490298565205
7,3.5160716281388895
8,5.692769271769126
9,4.790969971544751
10,4.1032297997816425
11,5.206193100246727
12,3.858222363591035
13,5.254334912270144
14,5.093575647120518
15,5.145156160002751
16,5.907688075445097
17,5.044574159882396
18,5.095294997549925
19,5.044574159882396
20,5.313652502084713
21,7.205797649647963
22,5.3936022970521735
23,0.7066530264865933
24,2.573867592823431
25,5.048012860741212
26,4.979238843564901
27,5.8861961950775
28,4.880376193873954
29,5.069504741108809
30,5.918863853236248
31,6.433809306843874
32,4.907885800744479
33,4.837392433138761
34,5.409936126131547
35,4.809023151053532
36,4.110107201499273
37,2.1070639512392217
38,0.5338583083311126
39,4.521891629342434
40,4.134178107510982
41,4.814181202341755
42,3.785149970341205
43,4.8391117835681685
44,2.3520713874298287
45,4.7797941937536
46,4.8270763305623134
47,4.81074250148294
48,4.8322343818505376
49,2.89452644790798
50,4.806444125409421
51,4.837392433138761
52,3.749903286538346
53,1.807037301307566
54,3.343276909983408
55,4.74454750995074
56,2.0640801905040274
57,4.576910843083483
58,1.7417019849900708
59,1.1227358304032737
60,4.889832621235697
61,1.1665792663531718
62,4.750565236453668
63,4.789250621115343
64,0.9275895566654918
65,4.84169080921228
66,0.350747487599185
67,3.621811679547467
68,0.35418618845800054
69,0.9129750780155257
70,1.4313592324819684
71,3.5418618845800056
72,1.5542927881846238
73,0.35504586367270446
74,1.6015749249933375
75,4.842550484426984
76,0.35332651324329667
77,1.440815659843711
78,1.4442543607025264
79,1.1433680355561668
80,1.3668835913791768
81,4.225303680269594
82,1.5732056429081094
83,0.97143299261539
84,4.443661184804381
85,1.446833386346638
86,0.35418618845800054
87,4.226163355484298
88,0.5974742742192
89,4.819339253629979
90,4.871779441726916
91,1.508730001805318
92,4.794408672403566
93,5.5629583143488395
94,4.815900552771163
95,4.780653868968304
96,4.564875390077629
97,0.807235026606948
98,0.433276308210758
99,0.5983339494339038
100,0.7754270436629042
101,0.6610902401072875
102,3.904644825185045
103,2.8953861231226843
104,3.6854276454355546
105,3.583126294885792
106,0.34902813716977726
107,3.562494089732899
108,2.330579507062232
109,3.2641867902306507
110,4.740249133877221
111,6.615200777146395
112,0.35504586367270446
113,0.903518650653783
114,5.433147356928552
115,4.808163475838828
116,0.3688006671079666
117,1.784685745725265
118,4.842550484426984
119,1.113279403041531
120,0.5089277271046999
