Round,Dataset,Local_Class,Accuracy
20,MNIST,0,61.5
20,MNIST,1,88.57
20,MNIST,2,81.36
20,MNIST,3,65.94
20,MNIST,4,79.17
20,MNIST,5,88.29
20,MNIST,6,86.45
20,MNIST,7,92.62
20,MNIST,8,78.67
20,MNIST,9,85.95
20,EMNIST,0,34.19
20,EMNIST,1,22.47
20,EMNIST,2,64.0
20,EMNIST,3,88.35
20,EMNIST,4,61.01
20,EMNIST,5,65.97
20,EMNIST,6,49.95
20,EMNIST,7,86.69
20,EMNIST,8,46.51
20,EMNIST,9,57.78
20,EMNIST,10,81.37
20,EMNIST,11,75.25
20,EMNIST,12,52.5
20,EMNIST,13,70.24
20,EMNIST,14,75.19
20,EMNIST,15,71.91
20,EMNIST,16,65.85
20,EMNIST,17,73.0
20,EMNIST,18,5.75
20,EMNIST,19,64.91
20,EMNIST,20,47.99
20,EMNIST,21,70.56
20,EMNIST,22,46.81
20,EMNIST,23,70.3
20,EMNIST,24,61.52
20,EMNIST,25,55.91
20,EMNIST,26,69.41
20,EMNIST,27,80.16
20,EMNIST,28,13.42
20,EMNIST,29,91.91
20,EMNIST,30,14.62
20,EMNIST,31,55.8
20,EMNIST,32,56.07
20,EMNIST,33,50.38
20,EMNIST,34,70.66
20,EMNIST,35,28.91
20,EMNIST,36,70.7
20,EMNIST,37,82.73
20,EMNIST,38,34.1
20,EMNIST,39,65.16
20,EMNIST,40,78.92
20,EMNIST,41,28.3
20,EMNIST,42,37.69
20,EMNIST,43,70.26
20,EMNIST,44,73.01
20,EMNIST,45,66.09
20,EMNIST,46,60.61
20,EMNIST,47,63.04
20,EMNIST,48,36.49
20,EMNIST,49,79.03
20,EMNIST,50,3.54
20,EMNIST,51,75.52
20,EMNIST,52,55.43
20,EMNIST,53,90.0
20,EMNIST,54,73.62
20,EMNIST,55,58.46
20,EMNIST,56,65.15
20,EMNIST,57,38.26
20,EMNIST,58,59.06
20,EMNIST,59,42.52
20,EMNIST,60,13.26
20,EMNIST,61,82.44
