Time: 2026-04-18 02:55:00
Log Dir: /home/unshun/multi-FL/logs/Local_noniid_het_gb40/new_client_2026-04-18_02-55-00/
================================================================================Loading checkpoints from logs/Local_noniid_het_gb40/Local/
Method selected: NAYER
Loaded SqueezeNet for CIFAR10 from client_model_CIFAR10_c31_SqueezeNet.pth
Loaded MLP for CIFAR10 from client_model_CIFAR10_c22_MLP.pth
Loaded ResNet8 for CIFAR10 from client_model_CIFAR10_c24_ResNet8.pth
Loaded CNN for CIFAR10 from client_model_CIFAR10_c23_CNN.pth
Loaded ResNet18 for CIFAR10 from client_model_CIFAR10_c25_ResNet18.pth
Loaded MobileNetV2 for CIFAR10 from client_model_CIFAR10_c26_MobileNetV2.pth
Loaded LeNet for CIFAR10 from client_model_CIFAR10_c28_LeNet.pth
Loaded ShuffleNet for CIFAR10 from client_model_CIFAR10_c30_ShuffleNet.pth
Loaded MobileNetV3 for CIFAR10 from client_model_CIFAR10_c27_MobileNetV3.pth
Loaded AlexNet for CIFAR10 from client_model_CIFAR10_c29_AlexNet.pth
WARNING: No models loaded for dataset: FashionMNIST.
WARNING: No models loaded for dataset: CIFAR100.

========================================
>>> [METHOD: SYNTHETIC] Starting Synthetic Label Mapping...
========================================
>>> Target Methods to Run: ['NAYER']
>>> [Syn] Loaded client data distributions directly from server checkpoint.

########################################
>>> [Syn] Running Method: NAYER
########################################

>>> Syn-NAYER Training Old Generators...
[Testing] Training Per-Dataset Generators Offline (Old Gen Method) using NAYER...
--- NAYER Generator Configuration ---
    epochs: 120
    g_loops: 2
    g_steps: 30
    g_life: 10
    kd_steps: 400
    warmup: 20
    gwp_loops: 10
    lr_g: 0.004
    ce: 0.5
    bn: 10.0
    adv: 1.33
    student_lr: 0.2
------------------------------------
    -> Loading CLIP ViT-B/32 label embeddings for 10 classes...
    -> [Epoch 0] Student Test Accuracy for CIFAR10: 8.72%
    -> [Epoch 1] Student Test Accuracy for CIFAR10: 6.81%
    -> [Epoch 2] Student Test Accuracy for CIFAR10: 11.33%
    -> [Epoch 3] Student Test Accuracy for CIFAR10: 12.00%
    -> [Epoch 4] Student Test Accuracy for CIFAR10: 13.93%
    -> [Epoch 5] Student Test Accuracy for CIFAR10: 11.42%
    -> [Epoch 6] Student Test Accuracy for CIFAR10: 12.36%
    -> [Epoch 7] Student Test Accuracy for CIFAR10: 13.78%
    -> [Epoch 8] Student Test Accuracy for CIFAR10: 13.46%
    -> [Epoch 9] Student Test Accuracy for CIFAR10: 13.06%
    -> [Epoch 10] Student Test Accuracy for CIFAR10: 13.77%
    -> [Epoch 11] Student Test Accuracy for CIFAR10: 18.55%
    -> [Epoch 12] Student Test Accuracy for CIFAR10: 13.39%
    -> [Epoch 13] Student Test Accuracy for CIFAR10: 13.55%
    -> [Epoch 14] Student Test Accuracy for CIFAR10: 15.77%
    -> [Epoch 15] Student Test Accuracy for CIFAR10: 15.09%
    -> [Epoch 16] Student Test Accuracy for CIFAR10: 11.59%
    -> [Epoch 17] Student Test Accuracy for CIFAR10: 16.77%
    -> [Epoch 18] Student Test Accuracy for CIFAR10: 11.97%
    -> [Epoch 19] Student Test Accuracy for CIFAR10: 10.66%
    -> [Epoch 20] Student Test Accuracy for CIFAR10: 12.04%
    -> [Epoch 21] Student Test Accuracy for CIFAR10: 15.17%
    -> [Epoch 22] Student Test Accuracy for CIFAR10: 11.53%
    -> [Epoch 23] Student Test Accuracy for CIFAR10: 11.71%
    -> [Epoch 24] Student Test Accuracy for CIFAR10: 12.37%
    -> [Epoch 25] Student Test Accuracy for CIFAR10: 12.91%
    -> [Epoch 26] Student Test Accuracy for CIFAR10: 10.90%
