Round,Accuracy
20,51.79
21,61.62
22,61.02
23,63.66
24,67.59
25,68.18
26,67.95
27,67.81
28,67.3
29,70.26
30,69.16
31,67.29
32,68.53
33,69.17
34,70.48
35,67.74
36,69.93
37,69.82
38,70.02
39,70.83
40,70.17
41,70.24
42,71.02
43,70.64
44,71.01
45,70.68
46,71.12
47,71.91
48,72.04
49,71.35
50,70.84
51,71.1
52,72.27
53,71.82
54,71.42
55,72.27
56,72.68
57,71.93
58,70.13
59,71.35
60,71.23
61,72.17
62,72.71
63,73.21
64,72.49
65,72.36
66,73.14
67,73.66
68,71.47
69,72.28
70,72.31
