Round,Accuracy
20,34.79
21,38.67
22,39.27
23,40.96
24,43.02
25,42.92
26,43.54
27,44.75
28,41.33
29,43.19
30,46.9
31,44.71
32,45.84
33,48.27
34,46.82
35,45.99
36,47.96
37,47.86
38,47.59
39,48.08
40,47.53
41,48.1
42,49.24
43,48.59
44,49.58
45,48.57
46,49.67
47,50.56
48,51.0
49,50.45
50,51.76
51,51.0
52,49.69
53,51.01
54,50.68
55,51.3
56,51.82
57,50.31
58,49.96
59,50.29
60,52.12
61,51.82
62,51.46
63,53.11
64,52.01
65,52.33
66,53.45
67,53.64
68,51.05
69,54.07
70,53.54
