Round,Accuracy
20,50.8
21,61.53
22,60.69
23,63.5
24,67.84
25,68.72
26,67.99
27,67.84
28,67.56
29,70.85
30,69.4
31,67.22
32,68.65
33,69.14
34,70.87
35,67.63
36,69.91
37,69.85
38,70.18
39,71.14
40,70.51
41,70.46
42,71.09
43,70.83
44,71.09
45,70.71
46,71.25
47,72.03
48,72.22
49,71.43
50,70.78
51,71.22
52,72.44
53,71.91
54,71.57
55,72.46
56,73.02
57,72.11
58,70.08
59,71.46
60,71.12
61,72.23
62,72.94
63,73.28
64,72.6
65,72.53
66,73.25
67,73.73
68,71.53
69,72.2
70,72.27
