Round,Accuracy
20,80.3
21,85.54
22,86.58
23,88.17
24,89.31
25,87.2
26,91.89
27,90.6
28,90.18
29,90.4
30,88.69
31,90.71
32,89.88
33,90.47
34,89.59
35,90.81
36,92.13
37,91.43
38,90.6
39,89.92
40,88.76
41,89.87
42,92.01
43,90.54
44,91.46
45,92.41
46,91.11
47,91.9
48,90.91
49,91.39
50,90.59
51,89.82
52,92.86
53,91.54
54,90.43
55,91.03
56,89.54
57,91.5
58,90.96
59,91.26
60,91.61
61,91.83
62,91.25
63,92.56
64,91.62
65,90.34
66,91.48
67,92.9
68,91.19
69,91.45
70,91.59
