Round,Dataset,Local_Class,Accuracy
22,EMNIST,46,41.27
22,EMNIST,47,0.74
22,EMNIST,48,0.0
22,EMNIST,49,5.62
22,EMNIST,50,5.19
22,EMNIST,51,35.82
22,EMNIST,52,23.04
22,EMNIST,53,10.9
22,EMNIST,54,77.39
22,EMNIST,55,86.42
22,EMNIST,56,3.42
22,EMNIST,57,2.35
22,EMNIST,58,0.0
22,EMNIST,59,29.21
22,EMNIST,60,31.12
22,EMNIST,61,72.44
23,MNIST,0,1.35
23,MNIST,1,0.0
23,MNIST,2,28.86
23,MNIST,3,24.27
23,MNIST,4,7.73
23,MNIST,5,46.73
23,MNIST,6,4.94
23,MNIST,7,0.21
23,MNIST,8,63.09
23,MNIST,9,0.22
23,EMNIST,0,0.44
23,EMNIST,1,0.0
23,EMNIST,2,50.52
23,EMNIST,3,28.65
23,EMNIST,4,13.23
23,EMNIST,5,54.27
23,EMNIST,6,18.43
23,EMNIST,7,0.09
23,EMNIST,8,74.65
23,EMNIST,9,0.17
23,EMNIST,10,31.57
23,EMNIST,11,83.73
23,EMNIST,12,5.19
23,EMNIST,13,47.25
23,EMNIST,14,54.78
23,EMNIST,15,6.03
23,EMNIST,16,83.05
23,EMNIST,17,44.3
23,EMNIST,18,0.0
23,EMNIST,19,61.05
23,EMNIST,20,36.49
23,EMNIST,21,1.09
23,EMNIST,22,6.59
23,EMNIST,23,19.28
23,EMNIST,24,7.07
23,EMNIST,25,1.26
23,EMNIST,26,83.78
23,EMNIST,27,49.18
23,EMNIST,28,15.92
23,EMNIST,29,0.28
23,EMNIST,30,7.8
23,EMNIST,31,0.0
23,EMNIST,32,0.68
23,EMNIST,33,25.7
23,EMNIST,34,2.62
23,EMNIST,35,4.03
23,EMNIST,36,41.54
23,EMNIST,37,0.39
23,EMNIST,38,20.87
23,EMNIST,39,18.37
23,EMNIST,40,52.8
23,EMNIST,41,7.97
23,EMNIST,42,71.27
23,EMNIST,43,1.86
23,EMNIST,44,0.51
23,EMNIST,45,0.0
23,EMNIST,46,16.51
23,EMNIST,47,0.0
23,EMNIST,48,0.0
23,EMNIST,49,4.63
23,EMNIST,50,7.55
23,EMNIST,51,34.93
23,EMNIST,52,10.0
23,EMNIST,53,4.79
23,EMNIST,54,71.36
23,EMNIST,55,56.94
23,EMNIST,56,8.66
23,EMNIST,57,0.0
23,EMNIST,58,0.0
23,EMNIST,59,19.63
23,EMNIST,60,17.0
23,EMNIST,61,57.8
24,MNIST,0,4.6
24,MNIST,1,1.94
24,MNIST,2,66.13
24,MNIST,3,75.73
24,MNIST,4,21.39
24,MNIST,5,74.35
24,MNIST,6,34.67
24,MNIST,7,41.07
24,MNIST,8,65.8
24,MNIST,9,5.56
24,EMNIST,0,1.81
24,EMNIST,1,1.09
24,EMNIST,2,70.33
24,EMNIST,3,72.4
24,EMNIST,4,28.54
24,EMNIST,5,59.21
24,EMNIST,6,42.14
24,EMNIST,7,19.15
24,EMNIST,8,76.35
24,EMNIST,9,0.23
24,EMNIST,10,22.26
24,EMNIST,11,53.05
24,EMNIST,12,5.19
24,EMNIST,13,52.89
24,EMNIST,14,41.99
24,EMNIST,15,15.8
24,EMNIST,16,60.2
24,EMNIST,17,9.7
24,EMNIST,18,0.54
24,EMNIST,19,57.02
24,EMNIST,20,12.64
24,EMNIST,21,6.92
24,EMNIST,22,1.48
24,EMNIST,23,5.45
24,EMNIST,24,13.2
24,EMNIST,25,9.76
24,EMNIST,26,67.02
24,EMNIST,27,19.16
24,EMNIST,28,31.03
24,EMNIST,29,2.23
24,EMNIST,30,3.24
24,EMNIST,31,0.55
24,EMNIST,32,0.82
24,EMNIST,33,12.98
24,EMNIST,34,20.8
24,EMNIST,35,34.12
24,EMNIST,36,49.97
24,EMNIST,37,6.19
24,EMNIST,38,12.47
24,EMNIST,39,37.52
24,EMNIST,40,38.9
24,EMNIST,41,47.53
24,EMNIST,42,59.7
24,EMNIST,43,3.49
24,EMNIST,44,14.91
24,EMNIST,45,53.63
24,EMNIST,46,25.0
24,EMNIST,47,0.26
24,EMNIST,48,0.0
24,EMNIST,49,14.37
24,EMNIST,50,5.66
24,EMNIST,51,34.33
24,EMNIST,52,36.09
24,EMNIST,53,7.2
24,EMNIST,54,39.7
24,EMNIST,55,77.11
24,EMNIST,56,5.92
24,EMNIST,57,1.64
24,EMNIST,58,0.24
24,EMNIST,59,48.13
24,EMNIST,60,28.24
24,EMNIST,61,42.68
25,MNIST,0,0.67
25,MNIST,1,0.0
25,MNIST,2,43.24
25,MNIST,3,52.88
25,MNIST,4,4.37
25,MNIST,5,55.12
25,MNIST,6,18.94
25,MNIST,7,3.85
25,MNIST,8,40.29
25,MNIST,9,1.53
25,EMNIST,0,0.21
25,EMNIST,1,0.0
25,EMNIST,2,52.16
25,EMNIST,3,53.45
25,EMNIST,4,16.46
25,EMNIST,5,56.81
25,EMNIST,6,16.16
25,EMNIST,7,2.4
25,EMNIST,8,70.28
25,EMNIST,9,0.35
25,EMNIST,10,19.67
25,EMNIST,11,79.83
25,EMNIST,12,19.86
25,EMNIST,13,76.02
25,EMNIST,14,76.36
25,EMNIST,15,21.07
25,EMNIST,16,83.78
25,EMNIST,17,53.59
25,EMNIST,18,0.38
25,EMNIST,19,67.02
25,EMNIST,20,19.54
25,EMNIST,21,2.99
25,EMNIST,22,0.3
25,EMNIST,23,38.57
25,EMNIST,24,5.37
25,EMNIST,25,18.27
25,EMNIST,26,71.54
25,EMNIST,27,53.8
25,EMNIST,28,7.65
25,EMNIST,29,25.82
25,EMNIST,30,14.51
25,EMNIST,31,0.0
25,EMNIST,32,0.41
25,EMNIST,33,3.82
25,EMNIST,34,9.92
25,EMNIST,35,21.09
25,EMNIST,36,56.25
25,EMNIST,37,9.15
25,EMNIST,38,18.83
25,EMNIST,39,30.33
25,EMNIST,40,65.32
25,EMNIST,41,48.63
25,EMNIST,42,70.34
25,EMNIST,43,1.71
25,EMNIST,44,0.26
25,EMNIST,45,23.53
25,EMNIST,46,53.3
25,EMNIST,47,0.0
25,EMNIST,48,0.0
25,EMNIST,49,8.4
25,EMNIST,50,31.84
25,EMNIST,51,55.82
25,EMNIST,52,16.3
25,EMNIST,53,33.51
25,EMNIST,54,78.64
25,EMNIST,55,92.47
25,EMNIST,56,17.08
25,EMNIST,57,3.29
25,EMNIST,58,0.47
