Epoch,Accuracy
0,52.69
1,82.02
2,83.92
3,84.52
4,84.99
5,85.02
6,84.63
7,84.52
8,84.25
9,84.08
10,83.85
11,83.68
12,83.28
13,83.59
14,83.44
15,83.45
16,82.7
17,82.5
18,83.2
19,82.71
20,82.68
21,82.36
22,82.56
23,82.67
24,82.58
25,83.38
26,82.64
27,83.0
28,82.53
29,82.29
30,83.03
