Round,Dataset,Local_Class,Accuracy
20,MNIST,0,91.36
20,MNIST,1,91.67
20,MNIST,2,83.71
20,MNIST,3,64.31
20,MNIST,4,82.31
20,MNIST,5,66.58
20,MNIST,6,89.78
20,MNIST,7,63.85
20,MNIST,8,66.7
20,MNIST,9,97.39
20,EMNIST,0,5.83
20,EMNIST,1,0.23
20,EMNIST,2,20.93
20,EMNIST,3,43.63
20,EMNIST,4,4.09
20,EMNIST,5,23.14
20,EMNIST,6,27.65
20,EMNIST,7,79.68
20,EMNIST,8,26.32
20,EMNIST,9,34.37
20,EMNIST,10,58.8
20,EMNIST,11,34.07
20,EMNIST,12,39.41
20,EMNIST,13,19.32
20,EMNIST,14,51.55
20,EMNIST,15,21.6
20,EMNIST,16,19.9
20,EMNIST,17,14.35
20,EMNIST,18,44.36
20,EMNIST,19,51.4
20,EMNIST,20,2.59
20,EMNIST,21,65.26
20,EMNIST,22,0.3
20,EMNIST,23,36.13
20,EMNIST,24,35.59
20,EMNIST,25,55.28
20,EMNIST,26,46.28
20,EMNIST,27,41.17
20,EMNIST,28,16.93
20,EMNIST,29,45.15
20,EMNIST,30,28.41
20,EMNIST,31,26.93
20,EMNIST,32,39.02
20,EMNIST,33,28.24
20,EMNIST,34,69.15
20,EMNIST,35,11.14
20,EMNIST,36,49.36
20,EMNIST,37,19.07
20,EMNIST,38,16.03
20,EMNIST,39,76.67
20,EMNIST,40,53.47
20,EMNIST,41,60.99
20,EMNIST,42,47.39
20,EMNIST,43,63.42
20,EMNIST,44,11.57
20,EMNIST,45,40.14
20,EMNIST,46,58.96
20,EMNIST,47,18.92
20,EMNIST,48,52.37
20,EMNIST,49,40.67
20,EMNIST,50,13.92
20,EMNIST,51,15.22
20,EMNIST,52,38.91
20,EMNIST,53,49.1
20,EMNIST,54,29.4
20,EMNIST,55,56.68
20,EMNIST,56,26.42
20,EMNIST,57,10.56
20,EMNIST,58,72.94
20,EMNIST,59,28.5
20,EMNIST,60,10.09
20,EMNIST,61,45.85
21,MNIST,0,94.61
21,MNIST,1,87.98
21,MNIST,2,89.88
21,MNIST,3,88.79
21,MNIST,4,73.01
21,MNIST,5,97.29
21,MNIST,6,86.34
21,MNIST,7,76.58
21,MNIST,8,93.0
21,MNIST,9,93.36
21,EMNIST,0,54.46
21,EMNIST,1,77.79
21,EMNIST,2,75.52
21,EMNIST,3,86.11
21,EMNIST,4,55.06
21,EMNIST,5,63.38
21,EMNIST,6,80.41
21,EMNIST,7,87.39
21,EMNIST,8,81.0
21,EMNIST,9,41.55
21,EMNIST,10,63.35
21,EMNIST,11,68.64
21,EMNIST,12,39.34
21,EMNIST,13,71.79
21,EMNIST,14,77.39
21,EMNIST,15,52.29
21,EMNIST,16,62.16
21,EMNIST,17,62.24
21,EMNIST,18,7.89
21,EMNIST,19,57.72
21,EMNIST,20,33.62
