Epoch,Accuracy
1,11.16
2,10.8
3,7.33
4,7.08
5,10.35
6,10.31
7,7.739999999999999
8,9.1
9,9.969999999999999
10,12.24
11,11.26
12,10.67
13,11.540000000000001
14,14.93
15,12.879999999999999
16,8.9
17,11.84
18,13.76
19,8.83
20,9.19
21,9.44
22,9.33
23,8.81
24,9.35
25,9.68
26,8.66
27,10.59
28,9.370000000000001
29,9.93
30,9.64
31,10.32
32,8.97
33,10.65
34,9.98
35,9.39
36,9.86
37,12.17
38,10.72
39,12.64
40,11.61
41,14.01
42,10.440000000000001
43,12.21
44,9.379999999999999
45,11.04
46,11.379999999999999
47,10.94
48,9.19
49,13.94
50,14.219999999999999
51,16.77
52,13.139999999999999
53,15.740000000000002
54,10.65
55,13.089999999999998
56,11.700000000000001
57,11.78
58,13.020000000000001
59,14.48
60,15.32
61,14.649999999999999
62,12.139999999999999
63,15.920000000000002
64,14.649999999999999
65,10.95
66,10.81
67,10.48
68,12.07
69,12.09
70,14.49
71,10.280000000000001
72,10.71
73,10.76
74,11.4
75,12.45
76,11.58
77,10.57
78,12.540000000000001
79,10.72
80,10.57
81,12.02
82,11.020000000000001
83,10.84
84,12.85
85,10.43
86,12.64
87,14.92
88,12.82
89,13.58
90,12.709999999999999
91,10.86
92,18.240000000000002
93,10.71
94,11.75
95,12.5
96,11.020000000000001
97,12.23
98,12.3
99,14.790000000000001
100,11.15
101,16.220000000000002
102,15.57
103,12.9
104,15.040000000000001
105,11.020000000000001
106,10.43
107,13.13
108,11.18
109,10.979999999999999
110,9.76
111,13.170000000000002
112,11.540000000000001
113,9.56
114,10.09
115,10.26
116,10.8
117,11.21
118,8.89
119,9.99
120,10.24
